omega,lambda_p,pi_bar
2.639075219631195068e-01,2.437855452299118042e-01,3.568311408162117004e-02
1.305701583623886108e-01,2.586659908294677734e+00,4.699927754700183868e-03
1.184587255120277405e-01,4.212678909301757812e+00,1.128320954740047455e-02
1.546630263328552246e-01,4.791599750518798828e+00,1.867332682013511658e-02
3.324574604630470276e-02,4.408668994903564453e+00,4.204166587442159653e-03
2.342852056026458740e-01,4.927262783050537109e+00,2.755424240604043007e-03
1.351142376661300659e-01,2.175808191299438477e+00,4.850109573453664780e-03
2.545126378536224365e-01,4.417821019887924194e-02,1.546269934624433517e-02
1.678923517465591431e-01,1.245030522346496582e+00,4.343122243881225586e-03
1.982822865247726440e-01,1.840865373611450195e+00,7.559387944638729095e-03
1.381757855415344238e-01,4.730094969272613525e-01,9.147965349256992340e-03
1.565131843090057373e-01,7.921665906906127930e-01,1.075977087020874023e-02
2.285036295652389526e-01,4.322594165802001953e+00,8.971503004431724548e-03
3.784651681780815125e-02,1.958369851112365723e+00,1.275533530861139297e-02
7.265254855155944824e-02,2.463752746582031250e+00,2.591015538200736046e-03
4.401102289557456970e-02,3.279407978057861328e+00,6.944691762328147888e-03
6.836488842964172363e-02,1.565745711326599121e+00,1.684082485735416412e-02
2.474725991487503052e-01,4.759097099304199219e+00,2.024415880441665649e-02
3.324688374996185303e-01,1.216747760772705078e-01,1.880757324397563934e-02
2.876625061035156250e-01,1.335587739944458008e+00,4.455797839909791946e-03
2.749946713447570801e-01,1.129420161247253418e+00,8.673776872456073761e-03
2.701216638088226318e-01,3.064079999923706055e+00,2.081772685050964355e-02
1.004811674356460571e-01,1.620870590209960938e+00,6.226114463061094284e-03
2.640137970447540283e-01,9.514047503471374512e-01,1.438881736248731613e-02
2.375482916831970215e-01,6.993151903152465820e-01,1.030508615076541901e-02
5.080077052116394043e-02,1.925436615943908691e+00,4.867233335971832275e-03
1.048223972320556641e-01,4.552568435668945312e+00,9.444449678994715214e-04
7.675117254257202148e-02,2.349352836608886719e+00,6.865694653242826462e-03
6.675392389297485352e-02,1.436147570610046387e+00,5.700192879885435104e-03
2.967892289161682129e-01,3.590467691421508789e+00,1.727000623941421509e-02
2.433245778083801270e-01,1.313762068748474121e+00,3.698006970807909966e-03
2.749704718589782715e-01,2.691388845443725586e+00,3.789316397160291672e-03
8.497223258018493652e-02,3.991129398345947266e+00,6.847898475825786591e-03
1.179693117737770081e-01,4.964037895202636719e+00,2.839258313179016113e-02
1.518535166978836060e-01,4.532013416290283203e+00,1.283314265310764313e-02
1.959634721279144287e-01,1.302697658538818359e+00,6.314992439001798630e-03
2.447185814380645752e-01,2.602291584014892578e+00,7.962908595800399780e-03
1.956342607736587524e-01,2.675730943679809570e+00,5.862739402800798416e-03
7.215318828821182251e-02,4.974192619323730469e+00,1.191756501793861389e-02
2.640572190284729004e-01,4.518557071685791016e+00,5.220624152570962906e-03
1.457431912422180176e-01,2.605667591094970703e+00,4.159624222666025162e-03
3.050960004329681396e-01,3.047796726226806641e+00,2.085668221116065979e-02
4.932667315006256104e-01,9.910510182380676270e-01,1.056535728275775909e-02
1.771776378154754639e-01,2.736322879791259766e+00,2.881622873246669769e-02
1.436958312988281250e-01,1.327912330627441406e+00,1.849846728146076202e-02
2.979482114315032959e-01,3.770926594734191895e-01,1.658050343394279480e-02
1.120104417204856873e-01,4.858852028846740723e-01,7.362956181168556213e-03
1.684881001710891724e-01,4.885585784912109375e+00,3.619268769398331642e-03
2.069551795721054077e-01,1.631171345710754395e+00,5.324401427060365677e-04
2.449187338352203369e-01,1.474204182624816895e+00,1.338544860482215881e-02
2.910130023956298828e-01,6.158720850944519043e-01,6.724203936755657196e-03
8.200314640998840332e-02,5.027299523353576660e-01,1.003555487841367722e-02
1.952510327100753784e-01,3.705989837646484375e+00,2.092393487691879272e-02
1.979161798954010010e-01,2.899401426315307617e+00,1.817865110933780670e-02
2.756886780261993408e-01,2.361518740653991699e-01,8.231663145124912262e-03
1.609981954097747803e-01,4.286025047302246094e+00,5.468117073178291321e-03
2.953886687755584717e-01,8.115397095680236816e-01,1.343252602964639664e-02
3.019125461578369141e-01,2.687077522277832031e+00,8.229128085076808929e-03
2.292236685752868652e-01,2.205295324325561523e+00,9.348846040666103363e-03
1.406341046094894409e-01,4.088420867919921875e+00,1.358477678149938583e-02
1.961318999528884888e-01,4.486112594604492188e+00,1.487024826928973198e-03
1.994521319866180420e-01,2.664746999740600586e+00,3.903538361191749573e-02
2.070552706718444824e-01,3.526317358016967773e+00,1.528556458652019501e-02
6.295660138130187988e-02,1.871826052665710449e+00,1.528825424611568451e-02
9.607298672199249268e-02,1.912692785263061523e-01,9.869232773780822754e-03
2.112450152635574341e-01,3.347500801086425781e+00,1.722241006791591644e-02
4.827414453029632568e-02,4.821862697601318359e+00,7.704086136072874069e-03
1.222440674901008606e-01,1.387860655784606934e+00,8.057994768023490906e-03
2.803001701831817627e-01,1.033805012702941895e-01,8.866018615663051605e-03
8.314502984285354614e-02,1.691977143287658691e+00,1.562343537807464600e-02
1.959702819585800171e-01,2.762966394424438477e+00,5.663979332894086838e-03
2.737569808959960938e-01,1.561909437179565430e+00,1.060539856553077698e-02
2.803876250982284546e-02,2.768716573715209961e+00,1.293593645095825195e-02
1.704391092061996460e-01,1.627282857894897461e+00,8.759913034737110138e-03
2.067337036132812500e-01,3.697356939315795898e+00,2.617710037156939507e-03
4.125283658504486084e-02,3.404402732849121094e+00,2.731833839789032936e-03
7.666580379009246826e-02,1.804048180580139160e+00,8.694884367287158966e-03
2.028573453426361084e-01,1.811652034521102905e-01,5.119123496115207672e-03
3.010096848011016846e-01,1.670275807380676270e+00,8.532131090760231018e-03
7.175151258707046509e-02,1.880676895380020142e-01,2.295876620337367058e-03
9.556081891059875488e-02,1.299992680549621582e+00,8.446150459349155426e-03
4.011935889720916748e-01,2.937381982803344727e+00,1.724910549819469452e-02
2.876854836940765381e-01,3.315686941146850586e+00,2.468262612819671631e-02
2.016493678092956543e-01,1.415253281593322754e+00,9.355467744171619415e-03
3.318983614444732666e-01,2.652729988098144531e+00,1.031864061951637268e-02
2.391703575849533081e-01,1.464711427688598633e+00,1.656487956643104553e-02
9.381354600191116333e-02,2.306479215621948242e+00,1.668365858495235443e-02
2.713063955307006836e-01,1.003649950027465820e+00,1.495612523285672069e-04
2.583244740962982178e-01,7.928723692893981934e-01,3.471724921837449074e-03
1.111736744642257690e-01,5.459555387496948242e-01,2.327475324273109436e-02
1.220851093530654907e-01,3.746662139892578125e+00,6.088451948016881943e-03
2.303907722234725952e-01,2.373571872711181641e+00,5.490258801728487015e-03
2.223498672246932983e-01,1.066493868827819824e+00,2.014069259166717529e-02
1.054087132215499878e-01,1.611604094505310059e+00,6.132839247584342957e-03
4.644491523504257202e-02,4.766996860504150391e+00,2.915756590664386749e-02
4.274325370788574219e-01,3.185352563858032227e+00,7.271853741258382797e-03
2.549780607223510742e-01,1.671081781387329102e+00,7.067972328513860703e-03
9.240898489952087402e-02,2.689912080764770508e+00,3.555139899253845215e-02
2.992388904094696045e-01,2.159915447235107422e+00,1.864202693104743958e-02
3.059648573398590088e-01,1.459869980812072754e+00,2.714141039177775383e-03
1.929124593734741211e-01,1.420047044754028320e+00,3.385537071153521538e-03
1.008414328098297119e-01,4.654650211334228516e+00,4.850523546338081360e-03
3.202910423278808594e-01,3.729290485382080078e+00,1.184286177158355713e-02
1.941148638725280762e-01,3.576005220413208008e+00,7.934506982564926147e-03
1.690997481346130371e-01,2.759210348129272461e+00,2.433901187032461166e-03
1.188642904162406921e-01,2.060071945190429688e+00,1.185238081961870193e-02
2.561303973197937012e-01,7.827471494674682617e-01,4.430552013218402863e-03
5.424569845199584961e-01,2.355023145675659180e+00,1.145377522334456444e-03
4.827807098627090454e-02,3.012351989746093750e+00,9.178953245282173157e-03
3.017089664936065674e-01,4.570855617523193359e+00,3.809580206871032715e-02
1.998632699251174927e-01,3.064888715744018555e+00,3.399758785963058472e-02
1.875226646661758423e-01,3.587239742279052734e+00,1.264664344489574432e-02
2.608450353145599365e-01,3.667370080947875977e+00,4.341984167695045471e-03
3.405318781733512878e-02,2.312460660934448242e+00,3.280787542462348938e-02
6.766862422227859497e-02,1.854371786117553711e+00,2.251189202070236206e-02
1.445281952619552612e-01,3.262502193450927734e+00,6.277899723500013351e-03
2.763883769512176514e-01,2.481986522674560547e+00,5.298224277794361115e-03
1.076506972312927246e-01,1.351230382919311523e+00,2.117303200066089630e-02
2.953004837036132812e-01,5.164939761161804199e-01,3.205711953341960907e-03
4.572882056236267090e-01,1.938476920127868652e+00,2.887085778638720512e-03
1.798839122056961060e-01,4.533900737762451172e+00,3.999907523393630981e-02
2.085225880146026611e-01,2.717570543289184570e+00,1.408364251255989075e-02
2.897771894931793213e-01,3.307121753692626953e+00,5.401535890996456146e-03
1.668938696384429932e-01,1.381998658180236816e+00,5.119433626532554626e-03
6.061695888638496399e-02,3.185916900634765625e+00,2.955508418381214142e-02
1.384820640087127686e-01,1.060168072581291199e-01,6.354982499033212662e-03
2.630725502967834473e-01,3.193502902984619141e+00,1.801682822406291962e-02
2.330521196126937866e-01,2.942387819290161133e+00,1.817125268280506134e-02
2.015442401170730591e-01,3.785592794418334961e+00,2.356559783220291138e-02
9.448873996734619141e-02,2.729835271835327148e+00,2.411117963492870331e-02
2.540450990200042725e-01,3.236544370651245117e+00,5.496363155543804169e-03
6.142927408218383789e-01,2.782941341400146484e+00,4.373541567474603653e-03
1.971785128116607666e-01,2.708064079284667969e+00,8.079412393271923065e-03
1.869121789932250977e-01,9.469963908195495605e-01,4.980270750820636749e-03
2.082249373197555542e-01,4.074819564819335938e+00,1.024735160171985626e-02
7.287447154521942139e-02,1.501769661903381348e+00,1.521494798362255096e-02
2.507477402687072754e-01,1.689060479402542114e-01,4.197441041469573975e-03
4.337369799613952637e-01,3.583989620208740234e+00,1.127575989812612534e-02
1.303395926952362061e-01,3.795598268508911133e+00,3.719320986419916153e-03
