omega,lambda_p,pi_bar
2.053470164537429810e-01,4.166273117065429688e+00,2.896786900237202644e-03
5.429900884628295898e-01,2.772745609283447266e+00,3.586407750844955444e-03
1.322609484195709229e-01,4.949591636657714844e+00,1.112047489732503891e-02
7.902923971414566040e-03,4.207490444183349609e+00,4.304858855903148651e-03
2.885085344314575195e-01,2.708133697509765625e+00,1.173309516161680222e-02
1.840087957680225372e-02,6.595847606658935547e-01,1.222233939915895462e-02
8.308488875627517700e-02,6.625719666481018066e-01,2.013253513723611832e-03
1.243113423697650433e-03,3.060121059417724609e+00,7.496259640902280807e-03
1.032322123646736145e-01,4.552860260009765625e+00,5.080252420157194138e-03
1.651640832424163818e-01,3.737734556198120117e+00,1.969674602150917053e-02
2.666590809822082520e-01,2.240334510803222656e+00,9.428665041923522949e-03
3.850591834634542465e-03,3.269351959228515625e+00,1.521038822829723358e-02
2.387714385986328125e-01,2.804991960525512695e+00,2.978486754000186920e-02
3.268769085407257080e-01,1.580456972122192383e+00,2.418176829814910889e-02
3.723254799842834473e-01,6.488751173019409180e-01,1.411909144371747971e-02
5.591712594032287598e-01,2.011099100112915039e+00,2.477053320035338402e-03
2.068630009889602661e-01,4.862642288208007812e+00,6.535930559039115906e-03
3.082775473594665527e-01,2.270863056182861328e+00,1.227107457816600800e-02
3.206015527248382568e-01,2.448051214218139648e+00,5.826610722579061985e-04
1.175777837634086609e-01,4.951386928558349609e+00,8.108110167086124420e-03
1.045794263482093811e-01,1.498051404953002930e+00,3.028842434287071228e-02
8.105566352605819702e-02,2.829206228256225586e+00,1.265458995476365089e-03
2.222218783572316170e-03,1.876917123794555664e+00,1.210968568921089172e-02
2.771824598312377930e-01,3.884449720382690430e+00,1.764573529362678528e-02
2.043945789337158203e-01,2.446446657180786133e+00,3.186783753335475922e-03
1.595978140830993652e-01,4.267060279846191406e+00,5.862007383257150650e-03
1.983632594347000122e-01,1.462172865867614746e+00,4.090118687599897385e-03
2.946002185344696045e-01,5.924863219261169434e-01,2.028335584327578545e-03
3.513426184654235840e-01,2.338373810052871704e-01,6.528954021632671356e-03
2.556354105472564697e-01,3.921492576599121094e+00,4.299508407711982727e-02
3.288903832435607910e-01,1.015691518783569336e+00,2.591810747981071472e-02
2.915265858173370361e-01,3.170800447463989258e+00,6.106911692768335342e-03
2.021006494760513306e-01,2.445940971374511719e+00,3.166776848956942558e-03
5.295411348342895508e-01,1.743034839630126953e+00,2.015562029555439949e-03
1.617643684148788452e-01,4.509117603302001953e+00,3.574218973517417908e-02
1.666552275419235229e-01,7.787851095199584961e-01,1.240173447877168655e-02
3.932502865791320801e-01,4.949483394622802734e+00,2.995584905147552490e-02
1.472069621086120605e-01,4.073675155639648438e+00,8.706469088792800903e-03
3.164413571357727051e-01,1.735356330871582031e+00,2.196290530264377594e-03
2.348062396049499512e-01,2.627704381942749023e+00,9.459444321691989899e-03
2.786908447742462158e-01,3.950618028640747070e+00,1.429520361125469208e-02
4.781694337725639343e-02,2.569935619831085205e-01,9.413890540599822998e-03
1.539322286844253540e-01,4.962373256683349609e+00,2.770846243947744370e-03
2.758850753307342529e-01,3.451669812202453613e-01,5.250310990959405899e-03
2.377481162548065186e-01,4.537887096405029297e+00,2.693712152540683746e-02
1.752287894487380981e-01,4.696458816528320312e+00,6.465803831815719604e-03
9.077518433332443237e-02,4.026436805725097656e+00,8.949372917413711548e-03
1.323818862438201904e-01,3.896022558212280273e+00,1.100489683449268341e-02
2.972640991210937500e-01,9.932329505681991577e-02,3.755799029022455215e-03
2.364592254161834717e-01,1.835249066352844238e+00,7.079245056957006454e-03
2.755874693393707275e-01,3.385524511337280273e+00,8.258166909217834473e-02
2.281903475522994995e-01,7.686179876327514648e-01,3.282729163765907288e-02
3.865778744220733643e-01,1.864160299301147461e+00,1.421943400055170059e-02
2.574093937873840332e-01,8.055816292762756348e-01,1.163265015929937363e-02
3.014083504676818848e-01,1.238913536071777344e+00,2.584936562925577164e-03
1.051509752869606018e-01,2.950499296188354492e+00,4.404482897371053696e-03
3.490292727947235107e-01,2.845898151397705078e+00,8.228289335966110229e-02
3.263741135597229004e-01,2.615003347396850586e+00,2.219488285481929779e-02
2.792805731296539307e-01,4.321093559265136719e+00,5.795625969767570496e-03
3.290231227874755859e-01,3.566749691963195801e-01,4.310245160013437271e-03
3.542621135711669922e-01,8.528783321380615234e-01,2.585192956030368805e-02
7.534131407737731934e-02,3.187926769256591797e+00,1.428017206490039825e-02
5.719203501939773560e-02,1.471103310585021973e+00,9.788993047550320625e-04
2.046912610530853271e-01,2.190270662307739258e+00,2.659562043845653534e-02
1.972401738166809082e-01,2.786081075668334961e+00,6.493403110653162003e-03
5.319263413548469543e-02,5.754472017288208008e-01,2.010991238057613373e-02
