omega,lambda_p,pi_bar
3.183048069477081299e-01,1.956842094659805298e-02,7.790042087435722351e-03
4.101150669157505035e-03,1.828269243240356445e+00,1.747932843863964081e-02
8.113088458776473999e-02,9.772559404373168945e-01,5.389706045389175415e-02
3.809899091720581055e-02,3.667174577713012695e+00,1.593522168695926666e-02
2.906976938247680664e-01,2.993313074111938477e+00,2.691935747861862183e-02
1.818412542343139648e-01,4.478617668151855469e+00,4.737866297364234924e-02
3.461401462554931641e-01,8.242179751396179199e-01,5.176679231226444244e-03
2.744493782520294189e-01,4.791125297546386719e+00,4.214225336909294128e-04
1.641417145729064941e-01,3.092695236206054688e+00,1.023646444082260132e-02
2.799744717776775360e-02,7.064753174781799316e-01,8.743122220039367676e-03
6.078502908349037170e-02,4.080222129821777344e+00,9.077744930982589722e-02
1.053968966007232666e-01,3.921515226364135742e+00,2.979708835482597351e-02
5.746848415583372116e-03,1.833308696746826172e+00,6.241223309189081192e-03
9.623428434133529663e-02,1.348187923431396484e+00,2.967840246856212616e-02
4.933668766170740128e-03,3.962107181549072266e+00,5.406584218144416809e-02
2.448125481605529785e-01,4.599809169769287109e+00,1.167807076126337051e-02
2.808341383934020996e-01,1.631701231002807617e+00,3.368614241480827332e-03
3.697642982006072998e-01,1.733917474746704102e+00,3.058758331462740898e-03
9.614029526710510254e-02,3.667069196701049805e+00,3.911340981721878052e-02
3.588240444660186768e-01,4.514722347259521484e+00,2.888160757720470428e-02
6.044408679008483887e-01,8.200975060462951660e-01,3.132203593850135803e-02
1.964014172554016113e-01,4.839399814605712891e+00,4.361218959093093872e-02
3.905708715319633484e-02,1.111246705055236816e+00,1.113135367631912231e-02
3.558500483632087708e-02,1.231646180152893066e+00,5.509842187166213989e-03
8.391990512609481812e-02,6.815117597579956055e-01,2.151242457330226898e-02
1.071848124265670776e-01,4.205608367919921875e+00,4.795596003532409668e-02
2.588437683880329132e-02,4.531296253204345703e+00,4.824599251151084900e-02
1.920840889215469360e-01,1.235055804252624512e+00,1.488819718360900879e-02
2.869991660118103027e-01,7.530332803726196289e-01,5.837314575910568237e-02
9.126418828964233398e-02,6.542529463768005371e-01,2.311113663017749786e-02
6.873963773250579834e-02,1.803935527801513672e+00,1.159816142171621323e-02
5.428988337516784668e-01,1.824688792228698730e+00,2.537371404469013214e-02
4.699718058109283447e-01,6.766257286071777344e-01,1.569564687088131905e-03
3.415794298052787781e-02,1.800423383712768555e+00,5.976700689643621445e-03
2.610189616680145264e-01,4.983165264129638672e+00,2.580702118575572968e-02
5.352432280778884888e-02,5.246760845184326172e-01,6.848538760095834732e-03
2.990408539772033691e-01,1.650910139083862305e+00,3.086265642195940018e-04
2.233043462038040161e-01,3.933205127716064453e+00,7.368665933609008789e-02
4.606127273291349411e-03,4.118914127349853516e+00,6.953958421945571899e-03
3.240787386894226074e-01,1.752001881599426270e+00,1.928134937770664692e-03
2.940333783626556396e-01,2.530381679534912109e-01,5.803870037198066711e-03
3.325697481632232666e-01,2.705965042114257812e-01,2.583191730082035065e-03
3.299660235643386841e-02,9.439616799354553223e-01,2.158224396407604218e-02
1.905475407838821411e-01,4.634992122650146484e+00,2.340398542582988739e-02
1.960394233465194702e-01,4.744681835174560547e+00,3.031506901606917381e-03
2.367769367992877960e-02,1.531930923461914062e+00,8.070904761552810669e-03
3.072118014097213745e-02,4.693207740783691406e+00,1.765651395544409752e-03
1.634420752525329590e-01,4.642833709716796875e+00,6.814372609369456768e-04
2.004358321428298950e-01,7.651874423027038574e-01,1.457296311855316162e-02
2.201479226350784302e-01,2.967992544174194336e+00,1.766127720475196838e-02
5.528938770294189453e-01,4.549864292144775391e+00,6.365964561700820923e-02
1.389047689735889435e-02,3.813135027885437012e-01,9.717306122183799744e-03
2.843676321208477020e-02,1.586624979972839355e+00,2.905336394906044006e-02
3.099886775016784668e-01,1.933352112770080566e+00,1.379266264848411083e-03
2.236961126327514648e-01,2.634868323802947998e-01,8.271397091448307037e-03
1.908069849014282227e-02,2.948930263519287109e+00,4.808632656931877136e-02
1.797307133674621582e-01,9.204899072647094727e-01,4.001490771770477295e-03
2.756633097305893898e-03,8.594186305999755859e-01,1.760841347277164459e-02
5.233480334281921387e-01,4.487359046936035156e+00,1.665553823113441467e-02
3.323408067226409912e-01,6.269971132278442383e-01,2.177418209612369537e-02
9.386203438043594360e-02,2.075482845306396484e+00,1.812060596421360970e-03
5.527889132499694824e-01,4.089516162872314453e+00,6.874560844153165817e-03
3.284222781658172607e-01,4.097503185272216797e+00,1.919032447040081024e-02
2.515738904476165771e-01,1.357877969741821289e+00,4.778154194355010986e-03
5.142412148416042328e-03,4.204417705535888672e+00,9.811456315219402313e-03
1.704423129558563232e-01,4.369586467742919922e+00,2.222418785095214844e-03
1.794063486158847809e-02,1.993156433105468750e+00,1.678595691919326782e-02
7.628661394119262695e-02,2.929355621337890625e+00,6.201294064521789551e-02
1.979216486215591431e-01,4.915721893310546875e+00,3.492039442062377930e-02
3.166293501853942871e-01,2.551510334014892578e+00,1.947917789220809937e-02
2.788861393928527832e-01,4.335330486297607422e+00,2.040208689868450165e-02
7.326505146920681000e-03,1.781027197837829590e+00,2.823326177895069122e-02
3.927520476281642914e-03,4.210575580596923828e+00,5.198808386921882629e-03
6.945279985666275024e-02,3.199889659881591797e-01,1.057203579694032669e-02
9.377789683640003204e-03,1.719039201736450195e+00,6.638621911406517029e-03
1.999075412750244141e-01,4.580044746398925781e+00,5.964407231658697128e-03
3.388939797878265381e-01,2.022082805633544922e+00,2.317229844629764557e-02
5.385771393775939941e-02,4.189369678497314453e+00,7.689437363296747208e-03
3.629253506660461426e-01,1.710825204849243164e+00,3.059285879135131836e-02
4.388724267482757568e-01,1.809960365295410156e+00,1.756799779832363129e-02
3.373721837997436523e-01,6.023015975952148438e-01,4.735791590064764023e-03
7.648594677448272705e-02,4.285815715789794922e+00,4.546066746115684509e-02
3.348590135574340820e-01,1.365429997444152832e+00,1.608167216181755066e-02
1.076513528823852539e-02,8.962452411651611328e-01,2.287273854017257690e-02
5.250273942947387695e-01,4.529964923858642578e+00,7.205106317996978760e-02
2.055062949657440186e-01,4.582207679748535156e+00,3.441449999809265137e-02
6.727410852909088135e-02,4.536262035369873047e+00,2.907912805676460266e-02
3.426013290882110596e-01,2.760201692581176758e-01,1.502701546996831894e-02
3.172411024570465088e-02,1.074677228927612305e+00,5.883318837732076645e-03
1.331793367862701416e-01,9.381810426712036133e-01,9.656195528805255890e-03
3.612336516380310059e-02,1.793558239936828613e+00,2.240337058901786804e-02
8.855111151933670044e-02,2.023001432418823242e+00,1.397840213030576706e-02
1.549010276794433594e-01,1.613888263702392578e+00,9.718330577015876770e-03
2.124791033565998077e-02,4.051939964294433594e+00,2.656237594783306122e-02
2.077796012163162231e-01,7.764466404914855957e-01,1.509913895279169083e-02
1.911397278308868408e-01,1.578810095787048340e+00,1.991822198033332825e-02
7.915049046277999878e-02,2.664545774459838867e+00,1.059472793713212013e-03
2.581792771816253662e-01,4.583797931671142578e+00,1.793440617620944977e-02
3.071590065956115723e-01,4.127448499202728271e-01,5.948015488684177399e-03
9.581309743225574493e-03,1.186618566513061523e+00,6.676220335066318512e-03
9.340877085924148560e-02,4.115316390991210938e+00,1.773452758789062500e-02
1.449547708034515381e-01,2.074486494064331055e+00,2.899998798966407776e-02
5.444277450442314148e-02,1.756813228130340576e-01,1.707813888788223267e-02
4.762757942080497742e-02,1.373468995094299316e+00,2.146919071674346924e-02
