omega,lambda_p,pi_bar
5.537555366754531860e-02,3.763995885848999023e+00,2.118843421339988708e-02
7.255769520998001099e-02,3.453877754509449005e-03,1.728822663426399231e-02
1.065352037549018860e-01,1.238895773887634277e+00,9.186962619423866272e-03
6.269810348749160767e-02,1.987878680229187012e+00,1.538279652595520020e-02
6.366848200559616089e-02,1.259678959846496582e+00,1.229435205459594727e-02
6.031285226345062256e-02,2.382541418075561523e+00,2.001639455556869507e-02
5.888552218675613403e-02,3.704021930694580078e+00,2.305597439408302307e-02
5.657165497541427612e-02,2.519877910614013672e+00,2.131805010139942169e-02
5.087861418724060059e-02,1.244038462638854980e+00,1.058521028608083725e-02
4.727034643292427063e-02,1.261093378067016602e+00,2.116907387971878052e-02
6.841427087783813477e-02,1.137799143791198730e+00,2.152738347649574280e-02
7.588448375463485718e-02,1.203045487403869629e+00,1.900321803987026215e-02
7.906392216682434082e-02,1.174442246556282043e-01,1.771962828934192657e-02
5.120652914047241211e-02,4.962263584136962891e+00,2.545751072466373444e-02
5.417704209685325623e-02,2.590613842010498047e+00,2.094830013811588287e-02
6.962610781192779541e-02,3.880696296691894531e+00,2.434137649834156036e-02
2.506358325481414795e-01,1.172075152397155762e+00,2.272292412817478180e-02
9.042043983936309814e-02,2.870671637356281281e-02,1.761237345635890961e-02
6.008117645978927612e-02,4.552987575531005859e+00,2.458477020263671875e-02
7.787191867828369141e-02,1.105096340179443359e+00,1.771936938166618347e-02
7.861767709255218506e-02,1.249376177787780762e+00,1.679005101323127747e-02
9.459335356950759888e-02,1.104149222373962402e+00,1.758204028010368347e-02
6.181686744093894958e-02,1.223791599273681641e+00,1.841720007359981537e-02
5.824708193540573120e-02,2.597905635833740234e+00,1.667565293610095978e-02
3.614722937345504761e-02,1.272829174995422363e+00,1.964954286813735962e-02
8.924257755279541016e-02,2.947920560836791992e+00,2.553567476570606232e-02
5.291458219289779663e-02,4.277676582336425781e+00,1.409796345978975296e-02
5.862393602728843689e-02,1.175147175788879395e+00,2.381224557757377625e-02
3.844426199793815613e-02,2.446564435958862305e+00,2.332887426018714905e-02
5.794353783130645752e-02,4.030252456665039062e+00,2.276454307138919830e-02
5.258095636963844299e-02,1.265544891357421875e+00,2.431171573698520660e-02
7.605953514575958252e-02,2.718374490737915039e+00,1.604154519736766815e-02
7.082726806402206421e-02,3.679804325103759766e+00,2.490850165486335754e-02
5.909943953156471252e-02,4.375556945800781250e+00,2.320992015302181244e-02
5.432866141200065613e-02,1.211935758590698242e+00,1.923434436321258545e-02
6.520440429449081421e-02,1.344401121139526367e+00,2.145532891154289246e-02
6.201157718896865845e-02,1.246954798698425293e+00,1.625263877213001251e-02
5.702850222587585449e-02,1.076003551483154297e+00,2.228407002985477448e-02
6.684159487485885620e-02,1.160158038139343262e+00,2.068766951560974121e-02
8.715736120939254761e-02,3.966322660446166992e+00,2.113977633416652679e-02
1.118757948279380798e-01,1.077188014984130859e+00,1.995531283318996429e-02
