omega,lambda_p,pi_bar
3.312705159187316895e-01,3.346017599105834961e+00,9.274134412407875061e-03
3.333936631679534912e-01,5.447751656174659729e-02,2.038465812802314758e-02
1.734656095504760742e-01,7.424985617399215698e-02,9.013354778289794922e-03
3.011923432350158691e-01,4.965830326080322266e+00,1.220951322466135025e-02
1.261852234601974487e-01,4.983586311340332031e+00,6.128151435405015945e-03
3.602425456047058105e-01,2.847427606582641602e+00,3.302358789369463921e-03
8.914136886596679688e-02,2.702598333358764648e+00,9.930574335157871246e-03
1.250916570425033569e-01,9.918834269046783447e-02,2.270556427538394928e-02
1.102401167154312134e-01,1.275071650743484497e-01,2.166685648262500763e-03
3.425456881523132324e-01,4.315171718597412109e+00,6.119070574641227722e-03
1.819156259298324585e-01,1.716535985469818115e-01,8.177401614375412464e-04
3.539948165416717529e-01,1.758839964866638184e+00,1.258896011859178543e-02
1.577549278736114502e-01,2.333020210266113281e+00,2.095280215144157410e-02
1.835342496633529663e-01,4.930562019348144531e+00,1.197484694421291351e-02
3.654223382472991943e-01,4.278953552246093750e+00,8.046165108680725098e-03
1.329319477081298828e-01,3.176451921463012695e+00,2.428368665277957916e-02
3.592863380908966064e-01,4.971317768096923828e+00,9.142333641648292542e-03
9.137019515037536621e-02,3.238756656646728516e+00,6.030673161149024963e-03
3.291578590869903564e-01,2.814957201480865479e-01,7.454369217157363892e-03
3.460701406002044678e-01,3.085076332092285156e+00,1.917130872607231140e-02
9.749000072479248047e-01,3.943132877349853516e+00,7.623570971190929413e-03
1.627229154109954834e-01,3.249399423599243164e+00,1.280628610402345657e-02
9.595306515693664551e-01,4.463677883148193359e+00,2.216655993834137917e-03
1.351034343242645264e-01,3.351953029632568359e+00,1.911651715636253357e-02
1.534413546323776245e-01,4.236662864685058594e+00,2.203799225389957428e-02
1.047001555562019348e-01,3.133538007736206055e+00,1.340172369964420795e-03
6.221731305122375488e-01,7.211981713771820068e-02,1.298225950449705124e-02
1.129357516765594482e-01,3.447668075561523438e+00,1.138802850618958473e-03
1.138343438506126404e-01,1.829893946647644043e+00,8.217418566346168518e-03
2.319010049104690552e-01,1.517939120531082153e-01,1.157575100660324097e-02
1.476681530475616455e-01,4.004666507244110107e-01,6.923728156834840775e-03
3.489901721477508545e-01,3.093090534210205078e+00,4.872887860983610153e-03
1.673796176910400391e-01,3.431375026702880859e+00,8.705221116542816162e-03
2.330549955368041992e-01,4.987176418304443359e+00,6.339781917631626129e-03
2.299908697605133057e-01,7.903278619050979614e-02,9.600276127457618713e-03
1.011585742235183716e-01,3.205351114273071289e+00,1.770815998315811157e-02
3.717777729034423828e-01,4.931844234466552734e+00,2.543905936181545258e-02
2.982248961925506592e-01,2.846477508544921875e+00,1.142353098839521408e-02
1.728205829858779907e-01,3.153792381286621094e+00,1.313894335180521011e-02
1.386218369007110596e-01,4.080588817596435547e+00,1.675200089812278748e-02
2.821025848388671875e-01,3.056244373321533203e+00,1.704561524093151093e-02
3.134440779685974121e-01,4.825174212455749512e-01,7.984189316630363464e-03
3.278377056121826172e-01,7.539401203393936157e-02,1.807785965502262115e-02
5.400481224060058594e-01,2.965729236602783203e+00,1.018134970217943192e-02
1.735704839229583740e-01,6.102881580591201782e-02,8.734771981835365295e-03
