omega,lambda_p,pi_bar
2.744917571544647217e-02,3.057732343673706055e+00,5.867698043584823608e-02
1.940595507621765137e-01,1.036527752876281738e+00,3.038707002997398376e-02
2.744733691215515137e-01,8.487699627876281738e-01,6.025086343288421631e-02
2.969194948673248291e-01,4.479647159576416016e+00,6.317703425884246826e-02
1.376922726631164551e-01,4.230798721313476562e+00,1.374809071421623230e-03
2.488463968038558960e-01,4.776647567749023438e+00,3.813593387603759766e-01
2.362923771142959595e-01,2.605800926685333252e-01,6.301107406616210938e-01
2.914145588874816895e-01,4.363445758819580078e+00,2.397188916802406311e-02
6.812996268272399902e-01,3.350104093551635742e+00,3.591038519516587257e-03
2.473573833703994751e-01,4.363915443420410156e+00,1.419776916503906250e+00
7.897686213254928589e-02,2.941267728805541992e+00,1.258819131180644035e-03
1.990076526999473572e-02,2.578491449356079102e+00,7.842968702316284180e-01
7.589507102966308594e-01,2.485287189483642578e+00,7.157406210899353027e-01
9.806953072547912598e-01,2.252666473388671875e+00,2.374926656484603882e-01
4.646798223257064819e-02,4.074951648712158203e+00,7.648352533578872681e-03
9.147734642028808594e-01,3.343442916870117188e+00,8.736129999160766602e-01
8.895731568336486816e-01,4.131949424743652344e+00,3.146466016769409180e-01
6.617222428321838379e-01,4.034005999565124512e-01,1.302514374256134033e-01
2.172192186117172241e-01,4.415965378284454346e-01,4.228151962161064148e-02
3.045034706592559814e-01,3.616724967956542969e+00,5.483537912368774414e-02
2.341478168964385986e-01,3.962457656860351562e+00,2.196461334824562073e-02
9.441252946853637695e-01,3.287611484527587891e+00,1.712651550769805908e-02
9.550422430038452148e-01,5.530060529708862305e-01,3.622308373451232910e-01
2.229844965040683746e-02,1.373499631881713867e+00,2.836546003818511963e-01
8.732058405876159668e-01,7.512254118919372559e-01,9.650035947561264038e-02
4.305176809430122375e-02,4.758265018463134766e+00,3.695573657751083374e-02
2.905839979648590088e-01,2.174041032791137695e+00,1.585665345191955566e-02
1.419918835163116455e-01,4.435189247131347656e+00,9.184525907039642334e-02
4.701518416404724121e-01,4.844487667083740234e+00,1.339524388313293457e-01
3.706009089946746826e-01,1.298335433006286621e+00,2.743403986096382141e-02
1.442692726850509644e-01,3.140581607818603516e+00,2.953676506876945496e-02
4.479482397437095642e-02,3.273591518402099609e+00,1.010940074920654297e-01
4.589653909206390381e-01,2.336983680725097656e+00,2.231311500072479248e-01
6.996907591819763184e-01,4.146342754364013672e+00,1.912648603320121765e-02
5.333684682846069336e-01,1.966454863548278809e+00,1.454315036535263062e-01
9.391251802444458008e-01,2.737509250640869141e+00,1.315069496631622314e-01
8.098287582397460938e-01,4.739342212677001953e+00,1.533959209918975830e-01
3.086239099502563477e-01,4.812441825866699219e+00,3.090702295303344727e-01
7.766948938369750977e-01,1.206551566720008850e-01,1.049080938100814819e-01
5.269642472267150879e-01,4.438417911529541016e+00,2.189004048705101013e-02
1.449556797742843628e-01,2.702848017215728760e-01,3.697059582918882370e-03
2.230678647756576538e-01,1.991991639137268066e+00,1.153270900249481201e-01
2.261485718190670013e-02,2.195947647094726562e+00,4.666000232100486755e-02
6.014108061790466309e-01,2.263718843460083008e+00,1.010405063629150391e+00
5.181858539581298828e-01,2.206623077392578125e+00,3.525863634422421455e-03
3.452936708927154541e-01,4.171731472015380859e-01,4.649191498756408691e-01
4.339486658573150635e-01,2.129973173141479492e+00,8.388271555304527283e-03
7.172687351703643799e-02,4.825379848480224609e+00,9.928651154041290283e-03
2.128254473209381104e-01,2.454795122146606445e+00,3.283643722534179688e-02
2.104862928390502930e-01,4.349708557128906250e+00,7.262069731950759888e-02
2.622468173503875732e-01,5.402898788452148438e-01,5.217638798058032990e-03
2.553483843803405762e-01,4.821023464202880859e+00,1.754041016101837158e-01
3.222220242023468018e-01,4.338945865631103516e+00,1.098475903272628784e-01
4.922415912151336670e-01,5.044894814491271973e-01,1.200166437774896622e-02
1.692258119583129883e-01,4.317475795745849609e+00,2.357437647879123688e-02
2.330503799021244049e-02,4.466779708862304688e+00,1.094593014568090439e-02
2.337833680212497711e-02,2.797237932682037354e-01,1.558685600757598877e-01
2.284631431102752686e-01,4.312470436096191406e+00,1.585413962602615356e-01
8.246147036552429199e-01,4.286421775817871094e+00,2.068228647112846375e-02
4.770031198859214783e-03,1.397880792617797852e+00,2.821381390094757080e-02
5.654228329658508301e-01,3.764029502868652344e+00,1.743308384902775288e-03
7.933826744556427002e-02,2.310652017593383789e+00,7.926533930003643036e-03
4.333096742630004883e-02,3.751787424087524414e+00,9.406250715255737305e-02
7.196512222290039062e-01,1.084737896919250488e+00,8.206211328506469727e-01
6.461156010627746582e-01,1.234041213989257812e+00,6.091539561748504639e-02
3.751686215400695801e-01,3.082220077514648438e+00,4.518470168113708496e-02
4.123669564723968506e-01,1.379698753356933594e+00,5.405048280954360962e-02
1.045642234385013580e-02,3.341620206832885742e+00,8.082827180624008179e-02
1.911725103855133057e-01,2.307480096817016602e+00,6.088372785598039627e-03
2.834857404232025146e-01,1.790060162544250488e+00,6.547435373067855835e-02
3.760219812393188477e-01,2.211118698120117188e+00,4.936632513999938965e-02
2.772752642631530762e-01,3.003750324249267578e+00,8.289845287799835205e-02
2.403461039066314697e-01,4.360979557037353516e+00,7.008436322212219238e-02
3.652360439300537109e-01,8.026412725448608398e-01,3.207245469093322754e-02
4.461654648184776306e-02,3.780508995056152344e+00,4.646249115467071533e-02
3.530701696872711182e-01,2.034003496170043945e+00,1.646812260150909424e-02
3.224220871925354004e-01,3.615715265274047852e+00,1.828095316886901855e-01
6.503690481185913086e-01,1.465616822242736816e+00,7.271654903888702393e-02
1.548705529421567917e-02,3.032309532165527344e+00,5.482096970081329346e-02
6.974508166313171387e-01,3.204851150512695312e+00,4.896853119134902954e-02
3.781019896268844604e-02,2.955407857894897461e+00,2.139822393655776978e-02
3.323867917060852051e-01,2.925755500793457031e+00,2.483047544956207275e-02
6.692662835121154785e-02,1.125093340873718262e+00,2.515481710433959961e-01
9.397449493408203125e-01,3.148117542266845703e+00,2.478042244911193848e-01
3.139881789684295654e-02,3.350579500198364258e+00,2.860496006906032562e-02
2.779916524887084961e-01,2.253949403762817383e+00,1.078877747058868408e-01
5.812914296984672546e-02,2.966492652893066406e+00,1.130313146859407425e-02
4.877954721450805664e-02,3.429689168930053711e+00,2.821870148181915283e-02
3.466106951236724854e-01,2.160738945007324219e+00,1.611975394189357758e-02
4.768977165222167969e-01,4.722471237182617188e+00,1.672384142875671387e-02
3.003278970718383789e-01,4.109539985656738281e+00,4.145660251379013062e-02
2.040903419256210327e-01,2.771598339080810547e+00,1.523992121219635010e-01
9.128395915031433105e-01,2.194491386413574219e+00,4.494367837905883789e-01
3.543038964271545410e-01,4.972360134124755859e+00,3.865437805652618408e-01
4.520180523395538330e-01,8.547354489564895630e-02,6.576827168464660645e-01
6.148160099983215332e-01,4.932794094085693359e+00,6.635977029800415039e-01
4.298464953899383545e-02,4.763761520385742188e+00,6.867237389087677002e-02
6.736708432435989380e-02,4.567291259765625000e+00,3.575649484992027283e-02
8.677458390593528748e-03,8.940638303756713867e-01,4.534706473350524902e-03
8.193024992942810059e-02,3.148576736450195312e+00,4.447016399353742599e-03
4.455406963825225830e-01,3.130018472671508789e+00,1.087237149477005005e-03
2.035443298518657684e-02,1.737460732460021973e+00,6.014453172683715820e-01
3.440026938915252686e-01,3.962237119674682617e+00,2.723024785518646240e-01
3.162989020347595215e-01,3.771737575531005859e+00,1.355410180985927582e-02
5.259752869606018066e-01,4.020129680633544922e+00,8.776234835386276245e-02
4.562966525554656982e-01,3.344938993453979492e+00,1.070088520646095276e-01
6.313316226005554199e-01,4.005404949188232422e+00,4.566228389739990234e-02
9.811170399188995361e-02,3.323965311050415039e+00,5.076282471418380737e-02
6.334353685379028320e-01,2.776177406311035156e+00,4.604715853929519653e-03
1.048802882432937622e-01,5.705434083938598633e-01,6.585832238197326660e-01
5.464103221893310547e-01,4.952601790428161621e-01,2.081276625394821167e-01
