omega,lambda_p,pi_bar
2.132852002978324890e-02,2.188709735870361328e+00,2.594967931509017944e-02
5.051603913307189941e-01,1.696758151054382324e+00,1.928604021668434143e-02
5.921848490834236145e-02,2.588379859924316406e+00,4.255453348159790039e-01
5.960883498191833496e-01,2.029765367507934570e+00,5.395428277552127838e-03
5.437394604086875916e-02,4.883142948150634766e+00,3.198231458663940430e-01
4.051183164119720459e-02,5.751476883888244629e-01,1.774407923221588135e-02
1.676395721733570099e-02,5.690038204193115234e-01,4.074414074420928955e-02
8.703672289848327637e-01,8.727383613586425781e-02,6.156046688556671143e-02
1.350308656692504883e-01,2.047879397869110107e-01,6.139083951711654663e-02
1.811656802892684937e-01,3.742499113082885742e+00,2.728477716445922852e-01
2.311837077140808105e-01,2.208370208740234375e+00,4.720978438854217529e-01
9.424903243780136108e-02,3.054024934768676758e+00,3.448086790740489960e-04
4.891541972756385803e-02,1.794847697019577026e-01,3.076062537729740143e-03
6.280176043510437012e-01,2.526639461517333984e+00,5.525310523808002472e-03
2.128042280673980713e-01,2.077613353729248047e+00,2.347892671823501587e-01
7.854037880897521973e-01,2.786060571670532227e+00,5.571896908804774284e-04
2.901462614536285400e-01,1.127967357635498047e+00,3.276896849274635315e-02
1.145339831709861755e-01,1.812864661216735840e+00,2.063588611781597137e-02
4.030429199337959290e-02,3.887934207916259766e+00,7.203342020511627197e-02
5.851604342460632324e-01,3.551584243774414062e+00,2.289138436317443848e-01
1.566106081008911133e-01,2.797888278961181641e+00,5.041801929473876953e-02
4.593959152698516846e-01,4.191310882568359375e+00,9.407342970371246338e-02
1.341463178396224976e-01,1.053293585777282715e+00,5.195911601185798645e-02
2.675820291042327881e-01,1.169207334518432617e+00,2.282839715480804443e-01
2.190729975700378418e-01,4.681815624237060547e+00,8.560930192470550537e-02
5.440496206283569336e-01,9.592087566852569580e-02,1.703388988971710205e-01
3.957565501332283020e-02,3.901336908340454102e+00,1.336353868246078491e-01
7.574391961097717285e-01,3.055170297622680664e+00,2.735509276390075684e-01
3.676419705152511597e-02,4.071979045867919922e+00,3.321385011076927185e-02
8.804164528846740723e-01,4.352613449096679688e+00,4.602425172924995422e-02
1.079311892390251160e-01,5.210993289947509766e-01,1.671461760997772217e-02
3.996744453907012939e-01,3.532894372940063477e+00,1.605956442654132843e-02
6.179025769233703613e-01,1.508241415023803711e+00,1.442736200988292694e-02
6.746560335159301758e-02,4.767141342163085938e+00,1.417506039142608643e-01
5.861294269561767578e-01,1.026178151369094849e-01,8.832168579101562500e-02
1.651352494955062866e-01,2.651446819305419922e+00,1.597800552845001221e-01
3.424758613109588623e-01,2.649317502975463867e+00,4.186995327472686768e-01
2.632692158222198486e-01,1.284705400466918945e+00,2.682747840881347656e-01
2.160927951335906982e-01,8.074391484260559082e-01,1.409954391419887543e-02
3.139428794384002686e-01,7.296057343482971191e-01,3.962283432483673096e-01
3.631353378295898438e-01,2.923088550567626953e+00,5.776399970054626465e-01
1.999471038579940796e-01,3.369602680206298828e+00,1.155729126185178757e-02
4.427238181233406067e-02,3.152892589569091797e+00,5.817591678351163864e-03
4.957015216350555420e-01,3.569462537765502930e+00,1.373939681798219681e-03
7.901338487863540649e-02,4.736481666564941406e+00,3.866562852635979652e-03
5.062930583953857422e-01,4.526312828063964844e+00,5.125308036804199219e-02
3.437732905149459839e-02,8.598393797874450684e-01,2.498288825154304504e-02
6.566874980926513672e-01,1.618716835975646973e+00,4.245822429656982422e-01
9.648270159959793091e-02,1.370484352111816406e+00,2.239863947033882141e-02
5.843551158905029297e-01,3.540224313735961914e+00,3.644342720508575439e-01
6.183979511260986328e-01,2.549720764160156250e+00,1.515730470418930054e-01
6.343605928122997284e-03,1.985859990119934082e+00,9.815162420272827148e-02
2.227296307682991028e-02,4.283787250518798828e+00,1.489167511463165283e-01
