omega,lambda_p,pi_bar
7.443401962518692017e-02,1.514310836791992188e+00,1.246356844902038574e+00
5.241676568984985352e-01,2.565921783447265625e+00,2.921586856245994568e-03
3.956948816776275635e-01,3.604101181030273438e+00,9.556304812431335449e-01
3.223764300346374512e-01,3.028459548950195312e+00,1.544705927371978760e-01
3.217734396457672119e-01,2.555461406707763672e+00,1.811131387948989868e-01
1.798973828554153442e-01,4.574578762054443359e+00,1.446435600519180298e-01
2.769055068492889404e-01,2.071613311767578125e+00,3.113041818141937256e-01
1.783084571361541748e-01,2.264520406723022461e+00,3.374923020601272583e-02
2.013544738292694092e-01,2.915726661682128906e+00,4.433875083923339844e-01
8.617361187934875488e-01,2.626478195190429688e+00,1.384966261684894562e-02
3.547484576702117920e-01,1.259282827377319336e+00,2.489742934703826904e-01
9.569562077522277832e-01,2.000291585922241211e+00,5.957845449447631836e-01
6.499955058097839355e-01,2.932471752166748047e+00,8.152657747268676758e-02
6.312102079391479492e-01,2.116178989410400391e+00,1.076612591743469238e+00
7.135655879974365234e-01,3.338660001754760742e+00,1.260763406753540039e+00
3.058248460292816162e-01,2.047135114669799805e+00,1.192652344703674316e+00
8.763392455875873566e-03,1.961759805679321289e+00,1.297289272770285606e-03
5.100326538085937500e-01,2.944447398185729980e-01,7.447481155395507812e-01
6.553056240081787109e-01,1.824744939804077148e+00,5.063847452402114868e-02
2.511548697948455811e-01,1.935385823249816895e+00,4.736965522170066833e-02
6.345009803771972656e-01,1.645396947860717773e+00,7.540774345397949219e-02
5.853500366210937500e-01,1.231517672538757324e+00,3.785544633865356445e-01
6.033301949501037598e-01,3.224543035030364990e-01,5.317401140928268433e-02
5.901578068733215332e-01,1.612872838973999023e+00,3.246808052062988281e-01
4.872776269912719727e-01,2.030557394027709961e+00,4.443920850753784180e-01
2.716737091541290283e-01,1.390405416488647461e+00,1.052281409502029419e-01
4.663221836090087891e-01,4.559379577636718750e+00,1.601390242576599121e-01
3.399027884006500244e-01,4.222612380981445312e+00,1.048466265201568604e-01
9.941293001174926758e-01,8.506752848625183105e-01,6.811057031154632568e-02
9.898564815521240234e-01,2.173237323760986328e+00,1.207524776458740234e+00
7.831497192382812500e-01,1.344628453254699707e+00,2.494392171502113342e-02
5.283077433705329895e-02,1.292180895805358887e+00,5.163320899009704590e-01
1.510402858257293701e-01,2.887008428573608398e+00,1.025348063558340073e-02
3.999911248683929443e-01,4.240463256835937500e+00,7.866078987717628479e-03
3.159947395324707031e-01,1.375945508480072021e-01,1.960622966289520264e-01
3.864309489727020264e-01,4.925680637359619141e+00,3.862700462341308594e-01
4.048247933387756348e-01,4.807881832122802734e+00,2.420696243643760681e-02
6.118518114089965820e-01,3.255468308925628662e-01,8.713032007217407227e-01
1.961293518543243408e-01,4.898034572601318359e+00,6.418508291244506836e-02
7.724538445472717285e-01,1.690057516098022461e-01,1.143244504928588867e+00
6.259974241256713867e-01,4.320956230163574219e+00,7.216042838990688324e-03
2.576038055121898651e-02,4.203980445861816406e+00,7.720857858657836914e-01
7.535941600799560547e-01,3.025693416595458984e+00,2.066071704030036926e-02
6.885728240013122559e-02,1.734770983457565308e-01,4.893025383353233337e-03
5.364229679107666016e-01,3.373871564865112305e+00,1.364206552505493164e+00
3.845589160919189453e-01,4.995469093322753906e+00,9.226586222648620605e-01
2.562136650085449219e-01,2.962161779403686523e+00,1.290540248155593872e-01
2.687054574489593506e-01,6.945810317993164062e-01,1.552291959524154663e-01
7.607436180114746094e-01,4.287870228290557861e-01,3.462796807289123535e-01
7.544869780540466309e-01,3.122744858264923096e-01,5.884689092636108398e-02
8.144841343164443970e-02,4.441277027130126953e+00,5.521422028541564941e-01
7.875545620918273926e-01,2.149463146924972534e-01,2.020786888897418976e-02
1.406142562627792358e-01,2.968866348266601562e+00,1.483275368809700012e-02
6.631605327129364014e-02,2.747590541839599609e+00,3.181957006454467773e-01
4.312394559383392334e-01,1.842830061912536621e+00,1.460749655961990356e-01
2.836567461490631104e-01,4.485777854919433594e+00,1.654656231403350830e-01
3.438034653663635254e-01,2.969902753829956055e-01,6.487102806568145752e-02
3.251253068447113037e-01,1.821557044982910156e+00,2.764225602149963379e-01
4.892236292362213135e-01,2.479933977127075195e+00,1.420196145772933960e-02
4.283907115459442139e-01,8.795192241668701172e-01,3.203753232955932617e-01
1.089985966682434082e-01,3.570482015609741211e+00,1.679643616080284119e-02
1.826523244380950928e-01,1.356989741325378418e+00,2.612990513443946838e-02
6.421301960945129395e-01,5.767055749893188477e-01,4.174471497535705566e-01
3.314730525016784668e-01,4.766188144683837891e+00,6.492125242948532104e-02
3.085246086120605469e-01,2.040982246398925781e-01,2.106523811817169189e-01
7.592316269874572754e-01,9.362992644309997559e-01,1.029412820935249329e-01
6.312333941459655762e-01,2.622892379760742188e+00,1.140300512313842773e+00
2.201488018035888672e-01,3.203504085540771484e+00,1.398185491561889648e+00
3.351416885852813721e-01,3.655866384506225586e+00,6.328665651381015778e-03
4.595615267753601074e-01,4.063746929168701172e+00,4.516207873821258545e-01
1.059003919363021851e-01,1.351794004440307617e+00,6.278881430625915527e-02
6.108364462852478027e-01,3.369249820709228516e+00,3.077036738395690918e-01
4.227765798568725586e-01,2.273079395294189453e+00,1.396476775407791138e-01
1.754048913717269897e-01,1.719983220100402832e+00,6.391348689794540405e-02
1.647786647081375122e-01,2.461716890335083008e+00,1.387310326099395752e-01
3.498048782348632812e-01,2.098390012979507446e-01,1.339502036571502686e-01
3.730773329734802246e-01,1.655139625072479248e-01,1.148301735520362854e-01
3.520016670227050781e-01,4.681265830993652344e+00,5.818833708763122559e-01
3.022646009922027588e-01,4.792468547821044922e+00,1.652750968933105469e-01
3.948741406202316284e-02,8.520255982875823975e-02,1.250929683446884155e-01
2.114881575107574463e-02,9.831049442291259766e-01,2.496716678142547607e-01
9.808483123779296875e-01,2.969617843627929688e+00,6.053711175918579102e-01
6.297507137060165405e-02,1.445596814155578613e+00,1.868138276040554047e-02
5.956296324729919434e-01,3.925385475158691406e+00,5.278072357177734375e-01
3.650738894939422607e-01,4.077732086181640625e+00,9.347885847091674805e-02
4.788967967033386230e-01,4.335292339324951172e+00,1.946144998073577881e-01
4.286951124668121338e-01,4.726703166961669922e+00,3.589743748307228088e-02
3.646741509437561035e-01,4.563670158386230469e+00,9.273190051317214966e-02
6.567021608352661133e-01,4.652538776397705078e+00,6.472827196121215820e-01
4.120256304740905762e-01,6.209056377410888672e-01,7.372769713401794434e-02
3.213279545307159424e-01,2.590263605117797852e+00,5.712130665779113770e-02
1.272051781415939331e-01,1.908417582511901855e+00,2.837905585765838623e-01
2.512311004102230072e-02,1.731157660484313965e+00,4.691980779170989990e-03
8.173995018005371094e-01,5.126964449882507324e-01,5.002809762954711914e-01
2.192082703113555908e-01,1.932760357856750488e+00,1.220093294978141785e-01
1.374165713787078857e-01,3.621664047241210938e+00,3.477734923362731934e-01
4.229475557804107666e-01,3.289821386337280273e+00,8.455399423837661743e-02
6.071622297167778015e-02,2.021722555160522461e+00,1.544351130723953247e-01
5.604353547096252441e-02,1.002247929573059082e+00,1.815434917807579041e-02
6.543270945549011230e-01,4.615426540374755859e+00,9.322404861450195312e-03
6.441587805747985840e-01,1.237093567848205566e+00,1.073848456144332886e-01
8.190398812294006348e-01,2.738763809204101562e+00,6.085208803415298462e-02
1.000685151666402817e-02,1.641116857528686523e+00,4.973526298999786377e-02
1.349423080682754517e-01,8.495323657989501953e-01,1.385403275489807129e-01
1.431723088026046753e-01,3.244176387786865234e+00,3.525661826133728027e-01
7.463204115629196167e-02,4.138477325439453125e+00,2.277046442031860352e-01
5.263170599937438965e-01,3.048691749572753906e+00,9.577481448650360107e-02
7.982080578804016113e-01,1.580276846885681152e+00,7.244564592838287354e-02
6.781764030456542969e-01,3.045962810516357422e+00,4.765776991844177246e-01
3.792044147849082947e-02,1.132491350173950195e+00,9.112784266471862793e-02
1.360456086695194244e-02,3.453353404998779297e+00,4.876434803009033203e-01
3.851170092821121216e-02,1.561635613441467285e+00,1.568077877163887024e-02
2.218805067241191864e-02,4.361203312873840332e-01,2.407581657171249390e-01
1.957905292510986328e-02,9.179835319519042969e-01,1.073270384222269058e-02
9.542912244796752930e-03,9.455047249794006348e-01,9.863277673721313477e-01
4.880107343196868896e-01,3.882163524627685547e+00,7.702615857124328613e-01
1.966154202818870544e-02,2.465131759643554688e+00,5.114810541272163391e-02
1.956382989883422852e-01,4.067693233489990234e+00,2.913430035114288330e-01
7.050012350082397461e-01,1.254540920257568359e+00,4.336297512054443359e-02
9.234653711318969727e-01,9.000177979469299316e-01,4.345522820949554443e-01
2.545838952064514160e-01,8.288583755493164062e-01,4.053547233343124390e-02
3.786574006080627441e-01,4.073319911956787109e+00,3.692950680851936340e-02
1.385649591684341431e-01,2.330129384994506836e+00,3.169850111007690430e-01
8.350369930267333984e-01,4.382579326629638672e+00,2.446850538253784180e-01
6.513885408639907837e-02,4.801462173461914062e+00,1.660956740379333496e-01
9.744849205017089844e-01,4.809315681457519531e+00,2.143094688653945923e-02
2.493304759263992310e-01,1.436456799507141113e+00,8.632258772850036621e-01
8.337838649749755859e-01,1.765782237052917480e+00,1.188244372606277466e-01
1.259201765060424805e-01,2.578876495361328125e+00,1.436846405267715454e-01
2.945049107074737549e-01,2.705755710601806641e+00,1.183152198791503906e-01
8.126451373100280762e-01,1.209560990333557129e+00,8.719693869352340698e-02
2.721617817878723145e-01,4.255068778991699219e+00,3.878769874572753906e-01
4.371465444564819336e-01,1.232337117195129395e+00,2.335776947438716888e-02
2.152683287858963013e-01,7.877689003944396973e-01,2.558813721407204866e-04
1.075610518455505371e-01,2.855795621871948242e+00,6.031646728515625000e-01
3.854751884937286377e-01,9.430390000343322754e-01,3.646860122680664062e-01
3.183041512966156006e-01,3.769585132598876953e+00,3.007302880287170410e-01
6.435754299163818359e-01,1.652277350425720215e+00,6.531575322151184082e-02
1.755885966122150421e-02,2.378303289413452148e+00,1.777257025241851807e-01
2.856440544128417969e-01,2.092257261276245117e+00,1.526032686233520508e-01
1.103195622563362122e-01,3.139291763305664062e+00,5.916769802570343018e-02
3.054690062999725342e-01,9.826077222824096680e-01,1.616221219301223755e-01
4.808675497770309448e-02,3.298813343048095703e+00,2.266767434775829315e-02
6.300864368677139282e-02,1.604309201240539551e+00,6.759159266948699951e-02
7.269004583358764648e-01,3.300695896148681641e+00,4.270803332328796387e-01
2.464532405138015747e-01,2.962551832199096680e+00,5.720746517181396484e-02
4.014208018779754639e-01,1.709261298179626465e+00,4.034904763102531433e-02
2.320880740880966187e-01,5.671620965003967285e-01,1.600061058998107910e-01
2.842521965503692627e-01,5.728358030319213867e-01,2.127677202224731445e-02
1.507137529551982880e-02,4.487322807312011719e+00,1.257397234439849854e-02
8.796681761741638184e-01,1.709073483943939209e-01,8.448018133640289307e-02
9.701439738273620605e-01,4.693397045135498047e+00,1.721847504377365112e-01
9.486209750175476074e-01,4.967634201049804688e+00,3.221170604228973389e-02
3.350360691547393799e-02,1.873582042753696442e-02,8.104535192251205444e-02
9.774941802024841309e-01,1.792083501815795898e+00,4.098064824938774109e-02
1.826051324605941772e-01,2.244663476943969727e+00,2.111001405864953995e-03
3.143801167607307434e-02,3.598457098007202148e+00,9.199355542659759521e-02
1.972774863243103027e-01,3.927496671676635742e+00,2.994735911488533020e-02
3.586317971348762512e-02,6.329762339591979980e-01,1.083541102707386017e-02
1.537981331348419189e-01,4.537720680236816406e+00,1.346770644187927246e+00
8.734195828437805176e-01,3.004296064376831055e+00,1.112794637680053711e+00
8.179377913475036621e-01,1.453334093093872070e+00,9.366270899772644043e-02
1.121579110622406006e-01,4.078770637512207031e+00,8.041810244321823120e-02
2.449056357145309448e-01,8.181268572807312012e-01,3.166329115629196167e-02
3.266172409057617188e-01,4.914129734039306641e+00,5.633182525634765625e-01
1.994161754846572876e-01,5.179983377456665039e-02,3.919644951820373535e-01
6.382499933242797852e-01,4.141614213585853577e-02,4.878456592559814453e-01
3.127583861351013184e-01,7.751708477735519409e-02,3.106027841567993164e-01
5.704337358474731445e-01,5.805655121803283691e-01,3.622624874114990234e-01
6.078085899353027344e-01,3.740236282348632812e+00,1.072529554367065430e+00
5.594937205314636230e-01,3.325958013534545898e+00,1.208752870559692383e+00
5.530496835708618164e-01,4.426804542541503906e+00,1.111290216445922852e+00
5.992377996444702148e-01,6.101303696632385254e-01,9.477442502975463867e-01
3.304612338542938232e-01,2.308155059814453125e+00,7.972881942987442017e-02
2.270470857620239258e-01,8.178691864013671875e-01,1.025059223175048828e+00
1.971209198236465454e-01,1.542286515235900879e+00,5.803615227341651917e-02
1.600095480680465698e-01,3.313235998153686523e+00,1.221245750784873962e-01
2.846594154834747314e-01,3.086685657501220703e+00,1.414478942751884460e-02
1.942733228206634521e-01,1.947679519653320312e+00,1.254940330982208252e-01
3.435260951519012451e-01,4.403754711151123047e+00,8.018208295106887817e-02
4.831908270716667175e-02,2.910134792327880859e+00,1.477047502994537354e-01
7.395167946815490723e-01,3.338475227355957031e+00,2.003498375415802002e-01
1.070014387369155884e-01,1.631990909576416016e+00,1.515091061592102051e-01
4.929441511631011963e-01,2.562066078186035156e+00,4.304683953523635864e-02
7.234207540750503540e-02,4.054481029510498047e+00,6.411009430885314941e-01
6.197200715541839600e-02,4.171945571899414062e+00,2.966704070568084717e-01
