omega,lambda_p,pi_bar
9.711110591888427734e-02,3.391272306442260742e+00,1.158839225769042969e+00
6.574751734733581543e-01,6.250842809677124023e-01,3.985254168510437012e-01
2.721561193466186523e-01,3.017220497131347656e+00,4.057526886463165283e-01
8.221862912178039551e-01,1.760202646255493164e+00,1.177726626396179199e+00
7.068697810173034668e-01,9.316784739494323730e-01,9.211626648902893066e-02
1.995567977428436279e-01,7.714040875434875488e-01,1.376874327659606934e+00
3.601036369800567627e-01,4.680720329284667969e+00,5.855551958084106445e-01
6.062885522842407227e-01,1.858274340629577637e+00,1.326078414916992188e+00
7.356353402137756348e-01,4.041834831237792969e+00,3.506478965282440186e-01
9.674957836978137493e-04,6.208190321922302246e-01,1.432504057884216309e+00
9.552841782569885254e-01,1.591325283050537109e+00,3.735030293464660645e-01
6.047491431236267090e-01,3.405059337615966797e+00,3.560930788516998291e-01
9.827783703804016113e-01,1.410268068313598633e+00,1.169916749000549316e+00
1.748925745487213135e-01,8.148960471153259277e-01,1.178962588310241699e+00
7.804279327392578125e-01,2.399229764938354492e+00,1.190697073936462402e+00
7.909417152404785156e-02,7.719258069992065430e-01,9.211605191230773926e-01
3.484272062778472900e-01,9.128253459930419922e-01,8.451820015907287598e-01
8.070404529571533203e-01,9.166841506958007812e-01,1.139036774635314941e+00
9.303673505783081055e-01,1.541296482086181641e+00,6.312932968139648438e-01
3.573954701423645020e-01,1.852844476699829102e+00,5.291318893432617188e-01
7.264302968978881836e-01,1.672625184059143066e+00,8.026142716407775879e-01
4.849320650100708008e-01,1.744052767753601074e+00,9.952236413955688477e-01
1.239102110266685486e-01,4.086503028869628906e+00,2.785149812698364258e-01
2.044515013694763184e-01,1.860910296440124512e+00,3.124050199985504150e-01
7.787795066833496094e-01,4.872141361236572266e+00,9.552946686744689941e-01
3.073096275329589844e-01,2.704497098922729492e+00,7.883338928222656250e-01
6.751629710197448730e-01,2.243548154830932617e+00,3.909747898578643799e-01
9.037588238716125488e-01,4.804965481162071228e-02,1.174909830093383789e+00
7.854721546173095703e-01,1.400055289268493652e+00,9.893527030944824219e-01
6.499372124671936035e-01,4.361564636230468750e+00,1.172894462943077087e-01
7.688580155372619629e-01,2.969107389450073242e+00,1.377363204956054688e+00
1.052384972572326660e-01,8.270066380500793457e-01,2.727336063981056213e-02
3.837865591049194336e-01,2.266410112380981445e+00,9.927904605865478516e-01
3.449642956256866455e-01,3.183634757995605469e+00,1.110565513372421265e-01
8.472182154655456543e-01,4.283243179321289062e+00,1.310898542404174805e+00
7.936983108520507812e-01,2.313516378402709961e+00,1.332172751426696777e+00
5.006330013275146484e-01,1.867378592491149902e+00,7.000879645347595215e-01
2.750437259674072266e-01,4.086803793907165527e-01,4.302863776683807373e-01
7.386785745620727539e-01,3.978344202041625977e+00,6.355929970741271973e-01
6.882202029228210449e-01,3.656856298446655273e+00,2.202536016702651978e-01
4.579047262668609619e-01,3.877695798873901367e+00,3.886036276817321777e-01
2.071314454078674316e-01,2.493777275085449219e+00,6.187699437141418457e-01
2.970253825187683105e-01,4.234960556030273438e+00,3.422206938266754150e-01
5.658946633338928223e-01,2.277222871780395508e+00,4.950676262378692627e-01
2.877619564533233643e-01,1.331426262855529785e+00,1.233195185661315918e+00
2.847117483615875244e-01,4.659556746482849121e-01,1.250305533409118652e+00
2.171263545751571655e-01,1.349998831748962402e+00,9.372895359992980957e-01
5.400916337966918945e-01,7.522824406623840332e-01,8.585272431373596191e-01
8.561798185110092163e-02,1.193992137908935547e+00,9.336089491844177246e-01
7.630835175514221191e-01,1.859194755554199219e+00,7.335500121116638184e-01
8.880525827407836914e-01,2.090502262115478516e+00,2.809433341026306152e-01
8.586529493331909180e-01,1.483314037322998047e+00,3.693340420722961426e-01
7.729525566101074219e-01,2.157819032669067383e+00,1.287445664405822754e+00
6.205086112022399902e-01,4.947111129760742188e+00,6.144642829895019531e-01
9.287270158529281616e-02,3.457971572875976562e+00,1.069151386618614197e-01
4.696940481662750244e-01,1.809319615364074707e+00,7.541140317916870117e-01
7.625162005424499512e-01,1.110157847404479980e+00,1.362287163734436035e+00
8.087131381034851074e-01,4.843136310577392578e+00,4.362342953681945801e-01
5.626847743988037109e-01,3.653375148773193359e+00,9.856715202331542969e-01
8.353425264358520508e-01,2.993646144866943359e+00,4.701258242130279541e-01
6.079549789428710938e-01,2.128165721893310547e+00,7.993133664131164551e-01
4.801889136433601379e-02,5.900998711585998535e-01,6.019811630249023438e-01
