omega,lambda_p,pi_bar
7.508702874183654785e-01,4.708936214447021484e+00,1.206217765808105469e+00
6.176372170448303223e-01,3.777024507522583008e+00,1.355549335479736328e+00
3.809956610202789307e-01,3.771520376205444336e+00,6.450766921043395996e-01
4.300041124224662781e-03,8.912811279296875000e-01,7.655689716339111328e-01
5.881935823708772659e-03,2.402302503585815430e+00,5.406312942504882812e-01
2.822054028511047363e-01,2.360300540924072266e+00,5.963413715362548828e-01
1.286388784646987915e-01,3.699338197708129883e+00,3.573892414569854736e-01
3.047333061695098877e-01,3.038278818130493164e+00,5.976384878158569336e-01
5.670300722122192383e-01,2.134754896163940430e+00,8.548742532730102539e-02
4.246768951416015625e-01,2.307092189788818359e+00,1.088819622993469238e+00
1.190005838871002197e-01,1.501700520515441895e+00,1.279739379882812500e+00
7.288654446601867676e-01,3.881293535232543945e+00,1.417337656021118164e+00
5.642628073692321777e-01,4.853081703186035156e+00,1.261996746063232422e+00
5.945370793342590332e-01,4.044255733489990234e+00,1.211212873458862305e+00
1.373805403709411621e-01,1.174974560737609863e+00,4.565553069114685059e-01
9.851340055465698242e-01,4.228109836578369141e+00,2.269557118415832520e-01
9.558688998222351074e-01,3.045728921890258789e+00,9.164083600044250488e-01
8.232963681221008301e-01,2.822593212127685547e+00,5.048807263374328613e-01
8.124583959579467773e-01,3.157217502593994141e+00,2.159761786460876465e-01
4.591129720211029053e-02,3.306869983673095703e+00,7.123959064483642578e-01
2.108752429485321045e-01,3.527245044708251953e+00,1.420950055122375488e+00
6.069282889366149902e-01,2.012637138366699219e+00,1.356786608695983887e+00
8.897334337234497070e-01,2.546111583709716797e+00,4.491843655705451965e-02
9.504151940345764160e-01,2.721048355102539062e+00,7.959918379783630371e-01
6.234621405601501465e-01,1.312102973461151123e-01,1.088393807411193848e+00
3.576262295246124268e-01,7.789788842201232910e-01,7.499867677688598633e-01
3.802781105041503906e-01,1.678213596343994141e+00,1.170676708221435547e+00
3.800956010818481445e-01,3.578430414199829102e+00,1.234008312225341797e+00
8.652072548866271973e-01,9.370220899581909180e-01,6.435590982437133789e-01
7.835797071456909180e-01,4.924224853515625000e+00,6.618927717208862305e-01
5.690929889678955078e-01,2.749436497688293457e-01,1.072909235954284668e+00
4.819467961788177490e-01,3.064970970153808594e+00,2.695400714874267578e-01
3.295100927352905273e-01,3.860815525054931641e+00,7.365026473999023438e-01
5.478511452674865723e-01,3.444584608078002930e+00,7.412849664688110352e-01
1.529311537742614746e-01,9.490437507629394531e-01,9.346317052841186523e-01
9.577891826629638672e-01,3.791862726211547852e+00,1.120886445045471191e+00
4.147556796669960022e-02,3.517411947250366211e+00,6.448496580123901367e-01
1.448712050914764404e-01,1.683641910552978516e+00,7.243386507034301758e-01
1.989294290542602539e-01,2.376394718885421753e-01,6.888325810432434082e-01
5.934586524963378906e-01,7.199091911315917969e-01,8.499782681465148926e-01
2.941432893276214600e-01,5.250180363655090332e-01,3.174517154693603516e-01
8.094210028648376465e-01,2.809839725494384766e+00,2.588495910167694092e-01
8.193694800138473511e-02,1.905736327171325684e+00,9.550374746322631836e-01
