omega,lambda_p,pi_bar
4.386355578899383545e-01,2.109702587127685547e+00,8.209736645221710205e-02
3.334712982177734375e-01,9.678735733032226562e-01,3.175774961709976196e-02
5.094269514083862305e-01,2.885440826416015625e+00,2.696383744478225708e-02
9.942682385444641113e-01,1.062839150428771973e+00,3.764419257640838623e-02
1.603477001190185547e-01,8.615525960922241211e-01,6.616518646478652954e-02
2.226825617253780365e-02,9.123890399932861328e-01,4.360487218946218491e-03
1.369864344596862793e-01,3.370410919189453125e+00,3.152484819293022156e-02
1.260994821786880493e-01,4.072712898254394531e+00,7.246302813291549683e-02
3.461957275867462158e-01,1.494740962982177734e+00,4.618697986006736755e-02
6.304029226303100586e-01,3.570982456207275391e+00,1.631381176412105560e-02
3.203452527523040771e-01,4.867913722991943359e+00,1.112096384167671204e-01
1.564071029424667358e-01,2.974967360496520996e-01,1.122444309294223785e-02
1.579248905181884766e-01,2.065445661544799805e+00,5.109791085124015808e-02
7.228581309318542480e-01,7.001799345016479492e-01,1.184491775347851217e-04
1.346743404865264893e-01,2.201467752456665039e+00,7.015577703714370728e-02
1.850690096616744995e-01,2.272298336029052734e+00,3.479429334402084351e-02
5.044612288475036621e-01,2.286517322063446045e-01,1.956440135836601257e-02
5.244268774986267090e-01,3.714586019515991211e+00,2.075324952602386475e-02
8.412545323371887207e-01,4.878571033477783203e+00,2.267871424555778503e-02
6.049722433090209961e-01,4.013547420501708984e+00,2.807429991662502289e-03
2.340475171804428101e-01,2.012294292449951172e+00,4.059758409857749939e-02
3.664943575859069824e-01,1.324956059455871582e+00,4.958471283316612244e-03
2.610709071159362793e-01,7.941347360610961914e-01,5.197039619088172913e-02
2.938497066497802734e-01,1.617913246154785156e+00,7.452917844057083130e-02
2.021007537841796875e-01,8.116230964660644531e-01,6.063967570662498474e-02
5.980708003044128418e-01,3.950694561004638672e+00,1.781415194272994995e-02
4.231982827186584473e-01,3.753512620925903320e+00,2.061179606243968010e-03
1.401357054710388184e-01,3.671691656112670898e+00,5.859714746475219727e-02
5.886370539665222168e-01,4.685257911682128906e+00,9.654222521930932999e-04
7.575709223747253418e-01,4.306152820587158203e+00,2.631113864481449127e-02
1.622033417224884033e-01,5.984876155853271484e-01,2.814551256597042084e-02
1.620112508535385132e-01,2.921357870101928711e+00,1.725495047867298126e-02
1.451970040798187256e-01,2.681702375411987305e+00,8.495403081178665161e-02
8.761104345321655273e-01,2.716636896133422852e+00,3.210884705185890198e-02
1.723694503307342529e-01,1.077092051506042480e+00,2.164786867797374725e-02
3.547772169113159180e-01,1.344439864158630371e+00,2.608018182218074799e-02
4.127414226531982422e-01,1.966667652130126953e+00,3.808945417404174805e-02
5.018695592880249023e-01,2.906677484512329102e+00,2.161554060876369476e-02
2.971868216991424561e-01,2.333097696304321289e+00,6.665584165602922440e-03
2.530746161937713623e-01,3.597804069519042969e+00,2.741499058902263641e-02
2.107129395008087158e-01,2.920934200286865234e+00,2.416573278605937958e-02
3.113594353199005127e-01,1.970326066017150879e+00,8.589665405452251434e-03
1.395058333873748779e-01,2.125123262405395508e+00,3.149288147687911987e-02
3.551662862300872803e-01,1.002509355545043945e+00,9.038051590323448181e-03
2.482351958751678467e-01,2.942276716232299805e+00,2.994520217180252075e-02
7.247895598411560059e-01,3.726433753967285156e+00,2.221285738050937653e-02
5.269086956977844238e-01,4.217822551727294922e+00,2.057311497628688812e-02
3.270166814327239990e-01,1.391460180282592773e+00,2.447748184204101562e-02
2.038409113883972168e-01,3.202072143554687500e+00,5.741173028945922852e-02
2.534207999706268311e-01,9.220657348632812500e-01,2.981676161289215088e-02
7.810533046722412109e-01,1.613474369049072266e+00,3.239133954048156738e-02
3.300361633300781250e-01,7.218308448791503906e-01,1.339741144329309464e-02
3.703906834125518799e-01,2.190156459808349609e+00,9.030678868293762207e-02
5.181705951690673828e-01,2.295736312866210938e+00,1.598859019577503204e-02
3.080219924449920654e-01,4.871178627014160156e+00,2.687602676451206207e-02
7.986912131309509277e-01,8.297232389450073242e-01,1.996867731213569641e-02
4.004526436328887939e-01,4.547450065612792969e+00,2.444756217300891876e-02
9.116700887680053711e-01,1.729960292577743530e-01,5.050100013613700867e-02
3.302381932735443115e-01,4.624636650085449219e+00,2.620303817093372345e-02
1.518386602401733398e-01,2.005660057067871094e+00,2.597290277481079102e-02
1.553628444671630859e-01,4.240928649902343750e+00,6.151938810944557190e-02
3.030575215816497803e-01,1.744672179222106934e+00,1.758975349366664886e-02
3.145189722999930382e-03,2.072029113769531250e+00,5.865478143095970154e-02
5.421069860458374023e-01,2.246310710906982422e+00,1.955082640051841736e-02
6.456515789031982422e-01,4.821269512176513672e+00,1.635925471782684326e-02
8.235671520233154297e-01,7.419974207878112793e-01,6.646407395601272583e-02
2.034701704978942871e-01,2.279468774795532227e+00,2.827707678079605103e-02
7.860375642776489258e-01,1.276899337768554688e+00,1.462022494524717331e-02
6.669883728027343750e-01,1.164675474166870117e+00,1.683274470269680023e-02
4.824483394622802734e-01,3.475314855575561523e+00,4.471097886562347412e-02
3.779787421226501465e-01,4.265384197235107422e+00,4.009135812520980835e-02
7.974104285240173340e-01,2.036070346832275391e+00,1.071552112698554993e-01
8.860391974449157715e-01,1.640861749649047852e+00,5.751132592558860779e-02
6.003875136375427246e-01,3.629124164581298828e+00,1.748764701187610626e-02
4.303215146064758301e-01,2.113367557525634766e+00,6.619208306074142456e-02
9.283469915390014648e-01,8.951269984245300293e-01,2.387181296944618225e-02
5.766445398330688477e-01,1.629261851310729980e+00,2.837908081710338593e-02
3.866443336009979248e-01,4.636385440826416016e+00,5.251058842986822128e-03
2.568934559822082520e-01,6.866377592086791992e-01,1.076685115694999695e-01
5.168693661689758301e-01,6.049954891204833984e-01,8.323303610086441040e-02
4.054294526576995850e-01,1.613735795021057129e+00,4.373546317219734192e-02
2.991428077220916748e-01,1.495767354965209961e+00,2.723593264818191528e-02
