omega,lambda_p,pi_bar
3.734950423240661621e-01,3.179661512374877930e+00,1.824438758194446564e-02
1.425078511238098145e-01,3.857091665267944336e+00,1.160235423594713211e-02
3.717574477195739746e-01,4.556959152221679688e+00,5.133137106895446777e-03
4.355478584766387939e-01,2.316588640213012695e+00,2.905364846810698509e-03
2.331216819584369659e-02,5.466626882553100586e-01,6.249789148569107056e-03
5.128553509712219238e-01,1.749031662940979004e+00,5.098153837025165558e-03
3.419868350028991699e-01,2.100831508636474609e+00,4.304906353354454041e-03
2.068450450897216797e-01,4.717190742492675781e+00,1.553509384393692017e-02
2.002498358488082886e-01,4.102730453014373779e-01,2.053464949131011963e-02
3.558656275272369385e-01,2.786812782287597656e+00,2.224125526845455170e-02
3.816954791545867920e-01,2.017369985580444336e+00,8.002187125384807587e-03
2.256175726652145386e-01,1.694536089897155762e+00,4.037946462631225586e-03
2.278068065643310547e-01,7.417834997177124023e-01,5.296017508953809738e-03
7.923587411642074585e-02,4.008452415466308594e+00,4.859621170908212662e-03
2.572334110736846924e-01,4.080653190612792969e+00,6.389415822923183441e-03
1.765767037868499756e-01,4.835041046142578125e+00,9.989429265260696411e-03
2.407787591218948364e-01,4.806154251098632812e+00,1.911887153983116150e-02
1.480714082717895508e-01,3.915548622608184814e-01,7.597547024488449097e-03
6.919881701469421387e-02,4.774472415447235107e-01,7.639138028025627136e-03
3.555088639259338379e-01,4.139603614807128906e+00,3.189196437597274780e-02
3.015250563621520996e-01,4.602899551391601562e+00,1.275870203971862793e-02
1.346632093191146851e-01,4.861912727355957031e+00,8.819252252578735352e-03
3.394404649734497070e-01,4.181627273559570312e+00,2.286153286695480347e-02
3.747745752334594727e-01,4.772334575653076172e+00,2.464117854833602905e-02
3.425624966621398926e-01,4.793548107147216797e+00,2.095824107527732849e-02
2.226934954524040222e-02,3.607713222503662109e+00,4.303523339331150055e-03
3.285824358463287354e-01,5.664542913436889648e-01,6.534573622047901154e-03
1.183376880362629890e-03,3.948097944259643555e+00,1.160030532628297806e-02
1.506738066673278809e-01,9.416797757148742676e-01,1.264161244034767151e-02
1.064028888940811157e-01,4.433848857879638672e+00,3.582905977964401245e-02
1.948402076959609985e-01,1.939567446708679199e+00,6.604591850191354752e-03
3.663776814937591553e-01,4.635948657989501953e+00,1.573034562170505524e-02
3.283966481685638428e-01,4.670896053314208984e+00,1.570729725062847137e-02
1.440336853265762329e-01,1.816940307617187500e+00,8.109032176434993744e-03
1.715295910835266113e-01,3.324401855468750000e+00,2.087818272411823273e-02
1.529954671859741211e-01,4.772130966186523438e+00,1.371549535542726517e-02
2.692484557628631592e-01,4.601722240447998047e+00,6.783760152757167816e-03
2.491956949234008789e-02,3.240547180175781250e+00,4.585593007504940033e-03
3.426042199134826660e-01,3.502278804779052734e+00,1.394926477223634720e-02
5.058294162154197693e-02,3.116175174713134766e+00,3.329877927899360657e-02
2.803263366222381592e-01,5.225164294242858887e-01,1.966493017971515656e-02
8.919021487236022949e-02,3.043972730636596680e+00,8.440734818577766418e-03
1.362223327159881592e-01,3.984432935714721680e+00,2.280580578371882439e-03
1.014967560768127441e-01,2.826263383030891418e-02,3.916457295417785645e-02
5.296915024518966675e-02,3.672360777854919434e-01,7.238493300974369049e-03
4.789536893367767334e-01,1.446414709091186523e+00,5.487427581101655960e-03
3.063119351863861084e-01,3.015987396240234375e+00,9.694451466202735901e-03
2.724247872829437256e-01,2.069940805435180664e+00,2.104126848280429840e-02
2.565571963787078857e-01,3.228758335113525391e+00,9.317430108785629272e-02
8.988861739635467529e-02,3.756067991256713867e+00,2.362666092813014984e-02
2.212970703840255737e-01,4.962461948394775391e+00,1.970232091844081879e-02
4.932389855384826660e-01,3.942114412784576416e-01,9.185783565044403076e-03
8.977455645799636841e-02,4.776225566864013672e+00,4.632500559091567993e-02
1.673512756824493408e-01,4.783360481262207031e+00,1.668268255889415741e-02
3.519087433815002441e-01,2.427585363388061523e+00,1.916220225393772125e-02
5.990777537226676941e-02,2.156491041183471680e+00,4.444481339305639267e-03
1.788850575685501099e-01,4.576738357543945312e+00,4.343423992395401001e-03
4.009079933166503906e-01,4.227920532226562500e+00,1.821181178092956543e-02
2.066260129213333130e-01,4.957753181457519531e+00,2.036352269351482391e-02
3.669862449169158936e-01,3.897842884063720703e+00,1.081023365259170532e-02
4.164064526557922363e-01,4.373642921447753906e+00,6.112519185990095139e-03
2.944183051586151123e-01,4.635775566101074219e+00,2.030953578650951385e-02
4.220283925533294678e-01,3.991806030273437500e+00,1.515626907348632812e-02
9.235131740570068359e-02,3.485066890716552734e+00,4.462152253836393356e-03
2.595508396625518799e-01,4.779644489288330078e+00,5.205665249377489090e-03
2.465589344501495361e-01,2.991277933120727539e+00,1.928497850894927979e-02
3.188536167144775391e-01,4.149703502655029297e+00,1.532888133078813553e-02
2.798319458961486816e-01,3.936660051345825195e+00,5.204164236783981323e-02
2.214085310697555542e-01,4.951786994934082031e+00,2.796608954668045044e-02
2.128438502550125122e-01,2.370299816131591797e+00,7.643952500075101852e-03
2.871550321578979492e-01,4.685591220855712891e+00,2.254606783390045166e-02
8.349189162254333496e-01,1.566674709320068359e+00,2.318836934864521027e-02
1.925470530986785889e-01,3.209804773330688477e+00,6.217981688678264618e-03
4.503995776176452637e-01,2.958488941192626953e+00,9.176871739327907562e-03
2.901707291603088379e-01,4.086387634277343750e+00,2.039010636508464813e-02
1.851570755243301392e-01,3.182365655899047852e+00,4.209431819617748260e-03
2.159105837345123291e-01,3.442897319793701172e+00,6.566493958234786987e-02
2.300329655408859253e-01,1.828071117401123047e+00,1.029459945857524872e-02
2.701348960399627686e-01,4.367281436920166016e+00,2.066695131361484528e-02
1.191721931099891663e-01,4.804377555847167969e+00,4.690435901284217834e-02
1.030708476901054382e-01,4.699329435825347900e-01,5.361323244869709015e-03
3.661989867687225342e-01,6.588614583015441895e-01,2.841882407665252686e-02
2.275169640779495239e-01,4.667739868164062500e+00,2.752262353897094727e-02
3.562188744544982910e-01,4.662783145904541016e+00,2.035481482744216919e-02
2.831774950027465820e-01,4.334345340728759766e+00,1.498959865421056747e-02
4.056200683116912842e-01,3.223060131072998047e+00,1.756377331912517548e-02
1.704487055540084839e-01,3.818381786346435547e+00,9.285355918109416962e-03
2.382108420133590698e-01,4.413260936737060547e+00,1.746281795203685760e-02
3.605792820453643799e-01,3.057163953781127930e+00,1.128381583839654922e-02
8.168676495552062988e-02,3.474668741226196289e+00,3.435186808928847313e-03
3.126560151576995850e-01,4.894675612449645996e-01,1.020772941410541534e-02
8.408651500940322876e-02,5.051270127296447754e-01,2.538361586630344391e-02
6.284714341163635254e-01,3.623539447784423828e+00,1.905366778373718262e-02
1.423570066690444946e-01,2.364727497100830078e+00,2.237898670136928558e-02
1.036493927240371704e-01,1.258370518684387207e+00,1.032620202749967575e-02
2.681466639041900635e-01,3.704553365707397461e+00,1.233695447444915771e-02
1.226029470562934875e-01,3.128050565719604492e+00,4.496367182582616806e-03
1.781103014945983887e-01,6.128649115562438965e-01,2.473270893096923828e-02
1.473233848810195923e-01,4.862895011901855469e+00,9.785265661776065826e-03
7.896662354469299316e-01,4.630579471588134766e+00,1.788958534598350525e-02
3.144909739494323730e-01,3.959264755249023438e+00,2.281999215483665466e-02
6.242313981056213379e-02,1.960507631301879883e+00,3.131553297862410545e-03
4.129134714603424072e-01,2.113685131072998047e+00,9.529727511107921600e-03
2.594433426856994629e-01,1.835353016853332520e+00,2.340784668922424316e-02
6.445736438035964966e-02,1.123689413070678711e+00,4.753185436129570007e-03
3.312867879867553711e-01,1.848279476165771484e+00,5.016355309635400772e-03
4.069868922233581543e-01,2.012563228607177734e+00,8.325438015162944794e-03
3.848717808723449707e-01,3.624554872512817383e-01,9.316804818809032440e-03
4.485423564910888672e-01,2.877056300640106201e-01,4.535909276455640793e-03
8.089162111282348633e-01,3.470193147659301758e+00,4.727165680378675461e-03
7.118902355432510376e-02,4.695572376251220703e+00,1.404202450066804886e-02
1.140688061714172363e-01,5.260316133499145508e-01,6.777716334909200668e-03
3.056123554706573486e-01,3.311299324035644531e+00,6.504200398921966553e-03
2.404390722513198853e-01,2.575405597686767578e+00,6.697095464915037155e-03
7.259442936629056931e-03,2.064872264862060547e+00,2.962772361934185028e-02
9.903125464916229248e-02,3.216322660446166992e+00,6.861153990030288696e-03
3.349185287952423096e-01,4.692104339599609375e+00,9.624536149203777313e-03
6.572193652391433716e-02,2.896845102310180664e+00,3.864166513085365295e-02
5.110728144645690918e-01,5.633991360664367676e-01,1.045901607722043991e-02
1.550790667533874512e-02,3.672179460525512695e+00,7.798996288329362869e-03
1.910161823034286499e-01,4.876286029815673828e+00,5.646056495606899261e-03
2.192007005214691162e-01,3.934900522232055664e+00,7.687387522310018539e-03
4.465551376342773438e-01,1.868004560470581055e+00,2.431859448552131653e-02
3.360655009746551514e-01,4.674610614776611328e+00,1.024353224784135818e-02
2.830425798892974854e-01,3.891556262969970703e+00,1.753964833915233612e-02
2.312855720520019531e-01,2.938848018646240234e+00,7.732973434031009674e-03
2.778870165348052979e-01,2.022157050669193268e-02,3.330072760581970215e-02
1.184833273291587830e-01,3.483757257461547852e+00,3.014566376805305481e-03
1.540038082748651505e-02,4.975251197814941406e+00,1.253154035657644272e-02
3.189392387866973877e-01,7.949325442314147949e-01,3.037825413048267365e-02
1.420710533857345581e-01,3.949769258499145508e+00,4.944339394569396973e-03
4.496959969401359558e-02,4.843485951423645020e-01,3.816367825493216515e-03
2.301704287528991699e-01,4.616113305091857910e-01,2.386539801955223083e-02
2.150254696607589722e-01,4.377526342868804932e-01,2.582621015608310699e-02
2.519828379154205322e-01,3.827645301818847656e+00,2.060451358556747437e-02
9.102569520473480225e-02,3.657379388809204102e+00,6.049569696187973022e-03
2.655085027217864990e-01,3.314766168594360352e+00,4.081867635250091553e-02
6.631021946668624878e-02,1.582267403602600098e+00,3.118446096777915955e-02
3.164795935153961182e-01,8.978734165430068970e-02,8.252346888184547424e-03
1.598786711692810059e-01,2.785404443740844727e+00,1.178275141865015030e-02
1.870411634445190430e-01,3.229973554611206055e+00,3.486694023013114929e-02
4.610482156276702881e-01,1.976336717605590820e+00,5.020298995077610016e-03
6.875493526458740234e-01,1.569836497306823730e+00,9.230652824044227600e-03
2.878466844558715820e-01,1.357828527688980103e-01,9.378627873957157135e-03
5.122606754302978516e-01,2.384953975677490234e+00,1.055003423243761063e-02
2.701205909252166748e-01,4.690965652465820312e+00,4.089985974133014679e-03
3.746122419834136963e-01,3.356189429759979248e-01,5.147007852792739868e-02
1.932739317417144775e-01,3.404771685600280762e-01,1.089402940124273300e-02
9.288646280765533447e-02,4.499656260013580322e-01,2.677040360867977142e-02
2.556849271059036255e-02,1.976138353347778320e+00,5.395794752985239029e-03
8.505839854478836060e-02,1.995304226875305176e+00,2.160120755434036255e-02
1.008147001266479492e-01,3.499974250793457031e+00,1.589189469814300537e-02
1.060731559991836548e-01,3.438766002655029297e+00,2.987660281360149384e-02
7.868520617485046387e-01,1.688446760177612305e+00,2.174518816173076630e-02
7.376371324062347412e-02,1.805181503295898438e+00,6.089828442782163620e-03
7.673196792602539062e-01,3.874118328094482422e-01,2.500484324991703033e-02
3.772542998194694519e-02,1.823894500732421875e+00,3.518675686791539192e-03
1.261541396379470825e-01,2.103781938552856445e+00,8.276931941509246826e-03
8.536307513713836670e-02,4.177856445312500000e-01,5.597909446805715561e-03
3.076454401016235352e-01,1.321659564971923828e+00,7.151879835873842239e-03
2.649553418159484863e-01,1.644578762352466583e-02,2.039845474064350128e-02
2.625892758369445801e-01,2.320285558700561523e+00,2.293897792696952820e-02
3.914579749107360840e-01,5.481386780738830566e-01,4.033203423023223877e-02
8.865914493799209595e-02,3.313218593597412109e+00,5.863281432539224625e-03
1.185681484639644623e-02,3.901968240737915039e+00,4.761073738336563110e-03
2.120777964591979980e-01,4.961870670318603516e+00,2.449755743145942688e-02
2.490819692611694336e-01,3.277344942092895508e+00,2.246898040175437927e-02
3.896954953670501709e-01,3.162460088729858398e+00,3.276854753494262695e-02
6.920762825757265091e-03,3.853691339492797852e+00,7.094103377312421799e-03
4.168018698692321777e-01,4.554186820983886719e+00,5.633456166833639145e-03
3.761060535907745361e-01,4.798358440399169922e+00,1.434325054287910461e-02
2.538994550704956055e-01,4.001316070556640625e+00,1.416500471532344818e-02
9.661595523357391357e-02,1.049860119819641113e+00,4.261829890310764313e-03
3.243546187877655029e-01,4.060195922851562500e+00,5.951841361820697784e-03
2.909498214721679688e-01,3.603704571723937988e-01,5.068292375653982162e-03
7.486218959093093872e-02,3.688143730163574219e+00,1.801046542823314667e-02
7.172546982765197754e-01,3.948149919509887695e+00,2.319205738604068756e-02
1.516102701425552368e-01,3.062838792800903320e+00,2.435060683637857437e-03
1.067180037498474121e-01,4.808454990386962891e+00,4.471986554563045502e-03
7.802689075469970703e-02,4.410676360130310059e-01,1.199951581656932831e-02
9.581783413887023926e-02,1.803030133247375488e+00,7.841457612812519073e-03
9.710716605186462402e-01,6.086150184273719788e-02,4.293074365705251694e-03
1.459842175245285034e-01,1.892388463020324707e+00,1.336945220828056335e-02
1.814449578523635864e-01,4.864624023437500000e+00,6.019503343850374222e-03
1.333587616682052612e-01,2.065196990966796875e+00,4.823982343077659607e-02
5.783817172050476074e-02,3.618347167968750000e+00,2.096028998494148254e-02
2.338055223226547241e-01,1.912688374519348145e+00,6.359759252518415451e-03
5.596306920051574707e-01,5.841283202171325684e-01,6.159897893667221069e-03
2.790053784847259521e-01,5.837306380271911621e-01,9.235877543687820435e-03
3.549087047576904297e-01,4.141225814819335938e+00,1.740924199111759663e-03
