omega,lambda_p,pi_bar
5.981229618191719055e-02,4.797070980072021484e+00,1.336455252021551132e-02
1.716050803661346436e-01,1.673748970031738281e+00,5.145813338458538055e-03
9.081719070672988892e-02,3.996412754058837891e+00,1.131901983171701431e-02
1.473884582519531250e-01,7.557240128517150879e-01,4.083549603819847107e-03
8.575094491243362427e-02,7.630399465560913086e-01,7.490350399166345596e-03
2.040792554616928101e-01,1.023379445075988770e+00,1.100007537752389908e-02
7.744617015123367310e-02,2.929942846298217773e+00,1.547108311206102371e-02
8.157148212194442749e-02,3.711859464645385742e+00,1.320104114711284637e-02
2.526907250285148621e-02,4.817838191986083984e+00,1.115085557103157043e-02
2.702241837978363037e-01,4.197877407073974609e+00,8.188931271433830261e-03
1.602602601051330566e-01,4.325044155120849609e+00,1.340929139405488968e-02
1.338763982057571411e-01,1.887105107307434082e-01,1.535466173663735390e-03
4.390101134777069092e-02,1.763212084770202637e+00,6.237783469259738922e-03
3.620290383696556091e-02,3.208314895629882812e+00,9.317561052739620209e-03
4.888870567083358765e-02,8.033806681632995605e-01,7.938704453408718109e-03
3.401995077729225159e-02,4.269486904144287109e+00,1.683189161121845245e-02
5.795184522867202759e-02,4.126635074615478516e+00,2.141809277236461639e-02
2.155937999486923218e-01,6.251837015151977539e-01,4.547292832285165787e-03
5.317845195531845093e-02,4.718467235565185547e+00,1.209051162004470825e-02
7.804775238037109375e-02,2.229255199432373047e+00,1.254244334995746613e-02
4.832844436168670654e-02,3.061435937881469727e+00,8.288889192044734955e-03
6.899450719356536865e-02,7.175902128219604492e-01,4.268177784979343414e-03
6.394663453102111816e-02,2.680667400360107422e+00,1.109180133789777756e-02
2.972536347806453705e-02,4.566251277923583984e+00,1.168842986226081848e-02
1.335028260946273804e-01,1.205867767333984375e+00,2.231827750802040100e-02
1.023276820778846741e-01,4.328419208526611328e+00,1.636303402483463287e-02
7.316496968269348145e-02,3.261988162994384766e+00,8.479396812617778778e-03
6.721074134111404419e-02,1.433634757995605469e+00,1.098407153040170670e-02
5.563096329569816589e-02,7.511761784553527832e-01,3.315177280455827713e-03
1.795138865709304810e-01,4.829151153564453125e+00,1.354999933391809464e-02
1.618108749389648438e-01,1.090136244893074036e-01,4.767200443893671036e-03
6.987557560205459595e-02,1.672025680541992188e+00,4.916037898510694504e-03
7.170373946428298950e-02,2.269785881042480469e+00,9.230896830558776855e-03
2.155107557773590088e-01,6.877769827842712402e-01,5.509905517101287842e-03
1.321198046207427979e-01,8.839506655931472778e-02,1.371703855693340302e-02
8.955541253089904785e-02,3.812847614288330078e+00,1.181011740118265152e-02
8.475893735885620117e-02,4.115518569946289062e+00,1.016165595501661301e-02
1.136960983276367188e-01,1.795209407806396484e+00,5.479432642459869385e-03
8.068957924842834473e-02,3.605457305908203125e+00,1.035037450492382050e-02
2.444080114364624023e-01,2.749542474746704102e+00,7.323924452066421509e-03
1.754216551780700684e-01,4.238204956054687500e+00,9.046217426657676697e-03
8.319102227687835693e-02,3.383256673812866211e+00,9.660178795456886292e-03
2.397065050899982452e-02,6.361370682716369629e-01,3.498113155364990234e-02
1.622323319315910339e-02,6.798446774482727051e-01,3.373260144144296646e-03
4.327960312366485596e-02,6.668220162391662598e-01,3.340026130899786949e-03
8.634214103221893311e-02,3.727478265762329102e+00,9.181096218526363373e-03
5.105757713317871094e-02,3.875212669372558594e+00,1.604654453694820404e-02
4.376519471406936646e-02,1.486440896987915039e+00,2.190039679408073425e-02
1.076222434639930725e-01,3.456638813018798828e+00,1.729680970311164856e-02
7.124593853950500488e-02,4.596212863922119141e+00,1.488836202770471573e-02
1.740075498819351196e-01,2.779142618179321289e+00,7.676870562136173248e-03
2.138250917196273804e-01,4.228336334228515625e+00,1.042665913701057434e-02
1.812233924865722656e-01,4.033248901367187500e+00,1.453244965523481369e-02
2.100895494222640991e-01,4.652696609497070312e+00,9.277271106839179993e-03
1.711542606353759766e-01,4.531421661376953125e+00,9.796182624995708466e-03
1.646038740873336792e-01,4.425057888031005859e+00,1.087659783661365509e-02
1.664381623268127441e-01,3.205592870712280273e+00,7.446379400789737701e-03
4.739543423056602478e-02,2.134882211685180664e+00,5.938471760600805283e-03
3.096184507012367249e-02,1.549193382263183594e+00,4.511144477874040604e-03
2.583642303943634033e-01,8.758550286293029785e-01,3.403324401006102562e-03
8.822878450155258179e-02,3.418801069259643555e+00,9.447326883673667908e-03
8.148030191659927368e-02,4.733194351196289062e+00,1.812607795000076294e-02
1.238402873277664185e-01,2.926348209381103516e+00,1.232892740517854691e-02
5.696468055248260498e-02,7.538038492202758789e-01,5.432546604424715042e-03
2.526239156723022461e-01,1.722135424613952637e+00,7.894221693277359009e-03
1.907540261745452881e-01,1.786550641059875488e+00,2.475566603243350983e-02
2.437900379300117493e-02,7.140808701515197754e-01,9.199350140988826752e-03
5.998323857784271240e-02,1.060573220252990723e+00,3.561365185305476189e-03
1.837200969457626343e-01,3.844698667526245117e+00,9.307641535997390747e-03
1.341025680303573608e-01,4.306312561035156250e+00,2.151462621986865997e-02
2.093205899000167847e-01,3.942134380340576172e+00,1.304080151021480560e-02
1.494270116090774536e-01,3.537096977233886719e+00,1.120132021605968475e-02
2.992365956306457520e-01,2.638715744018554688e+00,7.492804899811744690e-03
4.008048772811889648e-02,8.589608073234558105e-01,4.049190320074558258e-03
2.537637650966644287e-01,4.397908687591552734e+00,1.040600333362817764e-02
1.164772063493728638e-01,2.861969232559204102e+00,6.831701844930648804e-03
2.516627907752990723e-01,7.833628058433532715e-01,1.933257840573787689e-02
7.194057106971740723e-02,4.309357166290283203e+00,1.194816734641790390e-02
1.960664987564086914e-01,4.427959918975830078e+00,9.951769374310970306e-03
2.524318695068359375e-01,8.822097778320312500e-01,2.715889830142259598e-03
3.131178766489028931e-02,4.015310764312744141e+00,9.261472150683403015e-03
2.438058108091354370e-01,1.334209203720092773e+00,4.089275840669870377e-03
9.350600838661193848e-02,3.742352426052093506e-01,1.083906833082437515e-02
2.035823278129100800e-02,1.689583182334899902e+00,6.738646421581506729e-03
4.097415506839752197e-02,4.304888248443603516e+00,2.880741283297538757e-02
1.650384217500686646e-01,2.020801544189453125e+00,5.261621437966823578e-03
1.009736880660057068e-01,1.544178128242492676e+00,5.111658945679664612e-03
2.550320029258728027e-01,3.308553218841552734e+00,1.550656650215387344e-02
8.491665869951248169e-02,2.009699344635009766e+00,5.511797498911619186e-03
1.676413565874099731e-01,1.086233332753181458e-01,4.679002333432435989e-03
5.358393117785453796e-02,2.681449890136718750e+00,6.458457559347152710e-03
4.023218899965286255e-02,2.076775074005126953e+00,8.107431232929229736e-03
2.293923795223236084e-01,4.117640018463134766e+00,1.244269032031297684e-02
6.471971422433853149e-02,4.519461154937744141e+00,1.406282652169466019e-02
7.545921206474304199e-02,4.323493003845214844e+00,1.095543894916772842e-02
5.625233799219131470e-02,7.897142767906188965e-01,6.462906021624803543e-03
6.202464699745178223e-01,1.492513775825500488e+00,1.955212652683258057e-02
8.441833406686782837e-02,1.335722446441650391e+00,1.113434042781591415e-02
5.788997560739517212e-02,8.685392886400222778e-02,2.543021459132432938e-03
8.303540945053100586e-02,7.193973064422607422e-01,4.583646077662706375e-03
2.602066993713378906e-01,1.291152000427246094e+00,4.707992542535066605e-03
1.750856935977935791e-01,2.877274513244628906e+00,1.081831008195877075e-02
