omega,lambda_p,pi_bar
4.886998794972896576e-03,3.808415651321411133e+00,4.499757289886474609e-02
1.584841683506965637e-02,3.565840005874633789e+00,4.425261914730072021e-02
2.350967079401016235e-01,1.334750890731811523e+00,1.462204195559024811e-02
4.137587249279022217e-01,3.324545323848724365e-01,2.437829971313476562e-02
2.236621975898742676e-01,6.449127793312072754e-01,5.314336623996496201e-03
1.688847243785858154e-01,4.261789321899414062e+00,1.376903057098388672e-02
2.513524591922760010e-01,2.015530824661254883e+00,1.262166500091552734e-01
6.511873006820678711e-01,2.896967887878417969e+00,5.729606002569198608e-02
6.369917392730712891e-01,1.489273548126220703e+00,4.805558174848556519e-02
7.065836191177368164e-01,3.745175123214721680e+00,1.444237530231475830e-01
2.668493613600730896e-02,2.084213733673095703e+00,3.766673617064952850e-03
6.646327674388885498e-03,2.900498867034912109e+00,6.580282747745513916e-02
1.455871108919382095e-02,4.178967952728271484e+00,2.868879213929176331e-02
2.925056777894496918e-02,2.500702857971191406e+00,3.452960401773452759e-03
6.546720862388610840e-02,4.751281738281250000e+00,8.107934147119522095e-02
1.249528378248214722e-01,4.089313983917236328e+00,6.540978699922561646e-02
1.239693909883499146e-01,4.169822216033935547e+00,1.670150160789489746e-01
1.203474476933479309e-01,3.804469823837280273e+00,5.008599255234003067e-03
1.125898510217666626e-01,3.166766643524169922e+00,1.471262797713279724e-02
2.030218690633773804e-01,4.569724082946777344e+00,7.521465886384248734e-03
5.429962277412414551e-02,1.440300345420837402e+00,7.678239606320858002e-03
6.377239525318145752e-02,3.389476537704467773e+00,5.751607567071914673e-02
3.494321703910827637e-01,4.532123088836669922e+00,4.418073594570159912e-02
8.456214666366577148e-01,4.456704139709472656e+00,6.118156760931015015e-02
4.709822237491607666e-01,3.191059827804565430e+00,1.089501287788152695e-02
6.932070851325988770e-01,3.493096113204956055e+00,4.942176938056945801e-01
1.420876830816268921e-01,3.587743997573852539e+00,4.594377707690000534e-03
1.767804324626922607e-01,1.667252540588378906e+00,1.262384653091430664e-02
2.776387631893157959e-01,1.476174473762512207e+00,1.388505995273590088e-01
2.846220433712005615e-01,3.429463863372802734e+00,1.476933509111404419e-01
1.415983140468597412e-01,9.277702569961547852e-01,1.640798710286617279e-02
8.988651037216186523e-01,4.554423332214355469e+00,2.535703033208847046e-02
7.374697364866733551e-03,4.729332923889160156e+00,5.248011648654937744e-02
1.307758688926696777e-01,1.382931590080261230e+00,2.241067960858345032e-02
9.137175232172012329e-02,1.514433026313781738e+00,2.444972470402717590e-02
1.484355479478836060e-01,2.957693338394165039e-01,1.047593913972377777e-02
8.026202768087387085e-02,4.167015552520751953e+00,2.007564157247543335e-02
2.172423154115676880e-01,2.760095357894897461e+00,3.125120652839541435e-03
7.535441517829895020e-01,2.145563602447509766e+00,1.446714401245117188e+00
8.271088004112243652e-01,2.013441085815429688e+00,1.481104731559753418e+00
7.827455997467041016e-01,2.219854354858398438e+00,8.289149999618530273e-01
7.351578474044799805e-01,1.834075212478637695e+00,3.174395114183425903e-02
4.335119128227233887e-01,4.301560878753662109e+00,2.934672236442565918e-01
9.489732980728149414e-02,1.711489439010620117e+00,2.722322195768356323e-02
5.379657149314880371e-01,2.108407497406005859e+00,9.440247714519500732e-02
2.633804641664028168e-02,2.697492122650146484e+00,7.988777756690979004e-02
9.763023853302001953e-01,9.630732536315917969e-01,9.747721254825592041e-02
