omega,lambda_p,pi_bar
3.999488055706024170e-01,2.586950540542602539e+00,2.447246015071868896e-01
2.254642844200134277e-01,3.167744398117065430e+00,6.471727788448333740e-02
1.761474460363388062e-01,3.985343694686889648e+00,1.446682810783386230e-01
4.902828112244606018e-02,4.158800601959228516e+00,3.566191196441650391e-01
5.232577323913574219e-01,4.180715084075927734e+00,3.145219758152961731e-02
2.938949763774871826e-01,1.007781982421875000e+00,2.282827347517013550e-02
4.379783868789672852e-01,1.191825270652770996e+00,2.715172767639160156e-01
6.072968840599060059e-01,1.225923418998718262e+00,6.398315429687500000e-01
7.238897085189819336e-01,4.079478979110717773e-01,4.464680552482604980e-01
3.210462927818298340e-01,6.501334905624389648e-02,6.162369623780250549e-02
3.269377648830413818e-01,5.861067026853561401e-02,9.185016155242919922e-02
5.182886496186256409e-02,1.230329945683479309e-01,7.680581510066986084e-02
3.992753475904464722e-02,4.347708702087402344e+00,1.090964376926422119e-01
5.866147279739379883e-01,1.726513624191284180e+00,8.688622713088989258e-02
8.002362847328186035e-01,1.986909031867980957e+00,1.229662448167800903e-01
9.576374292373657227e-02,2.372893095016479492e+00,1.158126145601272583e-01
1.607257574796676636e-01,7.240649461746215820e-01,5.738421902060508728e-02
2.551136612892150879e-01,4.771693348884582520e-01,2.660422325134277344e-01
1.073053106665611267e-01,2.874664783477783203e+00,1.464935950934886932e-02
6.968979239463806152e-01,1.972265839576721191e+00,3.038055449724197388e-02
8.874242901802062988e-01,1.629223585128784180e+00,1.006610393524169922e-01
1.064514219760894775e-01,2.763283729553222656e+00,5.353941023349761963e-02
7.427684962749481201e-02,2.108486890792846680e+00,1.525861620903015137e-01
5.523085594177246094e-01,2.025615692138671875e+00,4.256488680839538574e-01
8.978142738342285156e-01,4.604064941406250000e+00,8.065908402204513550e-02
5.317328572273254395e-01,1.482536673545837402e+00,1.106030121445655823e-01
5.151266455650329590e-01,2.163892745971679688e+00,1.226447224617004395e-01
3.244942426681518555e-01,4.811191082000732422e+00,1.869607269763946533e-01
3.219256699085235596e-01,4.805517673492431641e+00,3.547338023781776428e-02
4.773396849632263184e-01,3.584010362625122070e+00,7.272976040840148926e-01
2.624230086803436279e-01,3.775081634521484375e+00,1.371753285638988018e-03
