omega,lambda_p,pi_bar
2.841659188270568848e-01,4.161586761474609375e+00,5.125100016593933105e-01
3.677826225757598877e-01,1.484199166297912598e+00,1.158640146255493164e+00
4.031737744808197021e-01,1.127055406570434570e+00,2.968434393405914307e-01
3.497947454452514648e-01,2.196020841598510742e+00,1.409206271171569824e+00
1.746089756488800049e-01,3.473012924194335938e+00,1.153141260147094727e+00
7.097848057746887207e-01,7.764886617660522461e-01,7.844201326370239258e-01
6.673702001571655273e-01,9.413357973098754883e-01,3.886035084724426270e-01
9.373565316200256348e-01,2.376483917236328125e+00,1.071961879730224609e+00
1.036842316389083862e-01,4.981111526489257812e+00,7.517009377479553223e-01
6.834982335567474365e-02,8.099541068077087402e-01,1.336911320686340332e+00
1.301136165857315063e-01,3.561618089675903320e+00,4.781903326511383057e-01
2.148926109075546265e-01,1.968773841857910156e+00,1.160116314888000488e+00
2.511792480945587158e-01,3.355087280273437500e+00,8.863387107849121094e-01
6.309305429458618164e-01,1.959581255912780762e+00,1.963993608951568604e-01
3.122943639755249023e-01,4.607154369354248047e+00,3.293041884899139404e-01
2.847689986228942871e-01,4.768679141998291016e+00,5.137729644775390625e-01
5.607894808053970337e-02,2.308934688568115234e+00,3.901785016059875488e-01
7.159395813941955566e-01,8.213956952095031738e-01,8.357121944427490234e-01
6.433441638946533203e-01,4.463588714599609375e+00,4.539079368114471436e-01
5.022159591317176819e-02,2.547166824340820312e+00,8.486741036176681519e-02
7.525323033332824707e-01,4.399672508239746094e+00,4.151333272457122803e-01
8.602377176284790039e-01,1.374483823776245117e+00,1.251816749572753906e+00
4.264623224735260010e-01,2.130561351776123047e+00,8.115759491920471191e-01
4.212734289467334747e-03,3.686438798904418945e-01,1.195383548736572266e+00
2.682501375675201416e-01,4.477176666259765625e+00,7.390108108520507812e-01
7.590081691741943359e-01,7.533917427062988281e-01,8.333328962326049805e-01
1.137409210205078125e-01,3.506972312927246094e+00,1.335406661033630371e+00
2.903151512145996094e-01,1.302156090736389160e+00,1.382499456405639648e+00
4.438028335571289062e-01,1.958703279495239258e+00,5.626891851425170898e-01
1.601921319961547852e-01,6.634933352470397949e-01,3.701321482658386230e-01
7.658164501190185547e-01,2.228728294372558594e+00,9.223295450210571289e-01
3.093393743038177490e-01,4.482757091522216797e+00,1.276717424392700195e+00
