omega,lambda_p,pi_bar
7.742402553558349609e-01,1.795519441366195679e-01,3.074978888034820557e-01
2.365590929985046387e-01,1.623936057090759277e+00,1.192716598510742188e+00
2.507861256599426270e-01,1.287863731384277344e+00,4.926379323005676270e-01
6.435602307319641113e-01,1.145132184028625488e+00,3.097604215145111084e-01
6.830718517303466797e-01,3.936686038970947266e+00,6.512140035629272461e-01
3.132503628730773926e-01,2.977604866027832031e+00,1.775292009115219116e-01
5.734925270080566406e-01,2.088504552841186523e+00,5.883988738059997559e-01
2.996105253696441650e-01,3.270620822906494141e+00,6.400862932205200195e-01
8.483978360891342163e-02,1.403855919837951660e+00,2.807244658470153809e-01
3.642351627349853516e-01,4.787084162235260010e-01,9.953374862670898438e-01
8.699935078620910645e-01,1.366453289985656738e+00,2.632280290126800537e-01
2.087254375219345093e-01,4.855892181396484375e+00,4.299210309982299805e-01
2.410631924867630005e-01,2.961305141448974609e+00,5.666981339454650879e-01
3.747255802154541016e-01,4.993624985218048096e-01,1.160450696945190430e+00
8.725878596305847168e-01,4.097646236419677734e+00,1.269143700599670410e+00
1.763918250799179077e-01,2.734229803085327148e+00,5.354268550872802734e-01
2.096350640058517456e-01,4.156376838684082031e+00,1.071451783180236816e+00
2.362018674612045288e-01,7.097008228302001953e-01,2.700085043907165527e-01
4.095023870468139648e-01,1.616207599639892578e+00,3.272130489349365234e-01
1.541847437620162964e-01,2.186716556549072266e+00,1.312679052352905273e+00
2.951259016990661621e-01,4.173491001129150391e+00,7.932736873626708984e-01
2.702377140522003174e-01,6.970017552375793457e-01,8.171728253364562988e-01
1.401245892047882080e-01,1.119675993919372559e+00,1.046703696250915527e+00
9.142132848501205444e-02,3.864572048187255859e+00,4.146406948566436768e-01
6.663946807384490967e-02,1.004100441932678223e+00,1.111249804496765137e+00
2.460893839597702026e-01,4.452456474304199219e+00,5.198935270309448242e-01
5.159944891929626465e-01,1.081652939319610596e-01,3.749440312385559082e-01
2.133337855339050293e-01,9.064720012247562408e-03,1.433389335870742798e-01
3.731435164809226990e-02,7.835395336151123047e-01,1.633848845958709717e-01
2.758957147598266602e-01,4.217013835906982422e+00,8.892906904220581055e-01
2.956226766109466553e-01,3.346996784210205078e+00,1.181731820106506348e+00
3.497042879462242126e-02,4.290712833404541016e+00,1.473794728517532349e-01
1.027072593569755554e-01,3.392690420150756836e+00,1.152344346046447754e+00
3.935730084776878357e-02,1.058469891548156738e+00,2.175747901201248169e-01
1.399952620267868042e-01,4.620423793792724609e+00,5.134624838829040527e-01
3.902455866336822510e-01,3.871720314025878906e+00,1.203184962272644043e+00
7.824012041091918945e-01,1.364911437034606934e+00,3.635971248149871826e-01
6.532982587814331055e-01,2.706003665924072266e+00,4.972836673259735107e-01
5.635621547698974609e-01,2.955076456069946289e+00,6.593254208564758301e-01
5.211468338966369629e-01,1.832237601280212402e+00,1.168273806571960449e+00
5.459904074668884277e-01,2.755365371704101562e+00,3.794824779033660889e-01
8.918341398239135742e-01,1.679062604904174805e+00,3.594923317432403564e-01
7.288287281990051270e-01,1.203961133956909180e+00,6.156693100929260254e-01
4.899781644344329834e-01,3.241945266723632812e+00,4.507781267166137695e-01
7.223322987556457520e-01,1.497834324836730957e+00,1.209354996681213379e+00
7.819847464561462402e-01,3.788441658020019531e+00,8.018491268157958984e-01
3.705271482467651367e-01,4.620140075683593750e+00,8.466793298721313477e-01
9.808915108442306519e-02,4.718214511871337891e+00,1.122880935668945312e+00
5.327647924423217773e-01,3.080602586269378662e-01,2.795313000679016113e-01
9.041957259178161621e-01,2.573652029037475586e+00,1.121553659439086914e+00
2.460938394069671631e-01,3.795666933059692383e+00,4.982508122920989990e-01
8.685383200645446777e-01,3.432033061981201172e+00,1.231170415878295898e+00
2.006224840879440308e-01,3.536176443099975586e+00,9.231119155883789062e-01
4.437772333621978760e-01,3.808115959167480469e+00,7.723958492279052734e-01
6.636173725128173828e-01,2.404404640197753906e+00,1.123079895973205566e+00
2.837979197502136230e-01,1.382072925567626953e+00,8.248618841171264648e-01
2.263303995132446289e-01,2.420752048492431641e+00,9.119553565979003906e-01
4.113380312919616699e-01,4.484154224395751953e+00,4.905455410480499268e-01
4.915456771850585938e-01,3.974094867706298828e+00,4.092359244823455811e-01
4.597228765487670898e-01,3.479714870452880859e+00,9.630791544914245605e-01
8.350494503974914551e-02,1.358849763870239258e+00,1.487565785646438599e-01
1.179949492216110229e-01,1.892765879631042480e+00,2.887015938758850098e-01
5.893573760986328125e-01,1.796902060508728027e+00,1.123661637306213379e+00
1.446566283702850342e-01,3.369060039520263672e+00,2.881964743137359619e-01
9.103375077247619629e-01,3.452924966812133789e+00,6.838825941085815430e-01
5.485414266586303711e-01,4.981125354766845703e+00,9.285542964935302734e-01
4.677047729492187500e-01,1.081016182899475098e+00,8.062655925750732422e-01
5.498390272259712219e-02,4.076901912689208984e+00,1.291985273361206055e+00
5.994125604629516602e-01,4.150515079498291016e+00,9.886655807495117188e-01
7.032468914985656738e-02,3.269496440887451172e+00,1.018788933753967285e+00
5.056539177894592285e-01,8.565235137939453125e-02,5.726771354675292969e-01
7.401390075683593750e-01,4.771221160888671875e+00,5.099039673805236816e-01
8.845043778419494629e-01,2.318109989166259766e+00,9.916657805442810059e-01
4.784821271896362305e-01,4.617826938629150391e+00,8.171150088310241699e-01
2.514330148696899414e-01,1.717861771583557129e+00,3.616294860839843750e-01
5.811733752489089966e-02,1.491575360298156738e+00,2.629122138023376465e-01
2.825030982494354248e-01,4.182662487030029297e+00,8.366834521293640137e-01
7.463089823722839355e-01,3.256509780883789062e+00,5.743302106857299805e-01
4.232496917247772217e-01,2.976400136947631836e+00,9.975643157958984375e-01
3.406013846397399902e-01,4.490319252014160156e+00,5.356115102767944336e-01
6.025508642196655273e-01,1.983114123344421387e+00,5.405275225639343262e-01
5.219700932502746582e-01,2.260842800140380859e+00,1.134058475494384766e+00
5.517196059226989746e-01,1.426991939544677734e+00,6.821245551109313965e-01
6.373265385627746582e-01,3.158252477645874023e+00,1.338111996650695801e+00
5.181993842124938965e-01,4.631824016571044922e+00,9.959293007850646973e-01
5.807708576321601868e-02,1.632164835929870605e+00,1.318238228559494019e-01
7.310417294502258301e-01,4.448759078979492188e+00,1.275041699409484863e+00
8.173891901969909668e-01,8.951505422592163086e-01,6.736287474632263184e-01
7.770613431930541992e-01,2.962642192840576172e+00,1.789685040712356567e-01
1.331005990505218506e-01,3.704825878143310547e+00,1.302497535943984985e-01
5.865258574485778809e-01,1.752176880836486816e+00,1.103353738784790039e+00
1.998667716979980469e-01,4.689443111419677734e+00,7.146386504173278809e-01
1.721138358116149902e-01,4.823053359985351562e+00,1.050879955291748047e+00
6.020414829254150391e-01,2.261633634567260742e+00,8.862545490264892578e-01
4.296515583992004395e-01,2.759902477264404297e+00,1.410793185234069824e+00
4.732042849063873291e-01,3.641659975051879883e+00,1.364653706550598145e+00
6.364889740943908691e-01,8.396763205528259277e-01,1.029765248298645020e+00
8.960954546928405762e-01,7.614076733589172363e-01,6.622269153594970703e-01
1.317674815654754639e-01,4.027353763580322266e+00,9.773364067077636719e-01
9.284023940563201904e-02,3.185781717300415039e+00,1.404942750930786133e+00
3.456592261791229248e-01,4.590685844421386719e+00,9.087463021278381348e-01
8.323724567890167236e-02,1.878942012786865234e+00,1.023690581321716309e+00
5.264405608177185059e-01,3.796301603317260742e+00,1.460390210151672363e+00
7.997621297836303711e-01,2.978822469711303711e+00,6.586250066757202148e-01
8.394394069910049438e-02,1.903129220008850098e+00,3.743386268615722656e-01
3.244228959083557129e-01,4.575602054595947266e+00,2.046956717967987061e-01
3.981267809867858887e-01,4.872472286224365234e-01,2.900490760803222656e-01
5.410149097442626953e-01,2.101801156997680664e+00,4.338938295841217041e-01
8.036081790924072266e-01,4.348367214202880859e+00,1.132340908050537109e+00
5.688579082489013672e-01,2.175732612609863281e+00,1.312603116035461426e+00
6.872885227203369141e-01,2.132963895797729492e+00,8.410011529922485352e-01
5.222712755203247070e-01,3.759401798248291016e+00,4.616429805755615234e-01
8.081032037734985352e-01,4.460848808288574219e+00,8.018905520439147949e-01
5.713781714439392090e-01,3.913596153259277344e+00,2.432210147380828857e-01
1.107230409979820251e-01,4.711993694305419922e+00,6.890728324651718140e-02
5.928631424903869629e-01,2.259972095489501953e+00,6.587883830070495605e-01
1.297604758292436600e-02,2.204411029815673828e+00,4.685284197330474854e-01
5.418850183486938477e-01,1.887256264686584473e+00,9.861323833465576172e-01
3.805715441703796387e-01,2.570777654647827148e+00,2.954829335212707520e-01
5.057104825973510742e-01,4.984602451324462891e+00,9.157519936561584473e-01
4.109581410884857178e-01,8.083052635192871094e-01,3.886085450649261475e-01
4.370101392269134521e-01,2.176803052425384521e-01,1.385849714279174805e+00
7.755955308675765991e-02,4.910809993743896484e+00,1.176388740539550781e+00
9.667468667030334473e-01,3.121723890304565430e+00,4.003072381019592285e-01
3.575717806816101074e-01,3.103536069393157959e-01,6.997178196907043457e-01
4.130200743675231934e-01,4.190071582794189453e+00,1.448484063148498535e+00
2.784320414066314697e-01,4.137329161167144775e-01,4.812784492969512939e-01
7.060708999633789062e-01,4.284340381622314453e+00,7.476180195808410645e-01
3.365743458271026611e-01,3.842890977859497070e+00,9.874708652496337891e-01
6.968861818313598633e-01,3.334128618240356445e+00,9.688120484352111816e-01
2.324547767639160156e-01,4.882186889648437500e+00,5.033040642738342285e-01
6.526199579238891602e-01,1.741909503936767578e+00,7.021619081497192383e-01
8.188766986131668091e-02,4.255578994750976562e+00,5.172206163406372070e-01
8.056898713111877441e-01,3.654627799987792969e+00,6.966036558151245117e-01
5.609990358352661133e-01,3.107975006103515625e+00,4.163769185543060303e-01
6.068341806530952454e-02,4.805536746978759766e+00,6.492752432823181152e-01
6.369590163230895996e-01,4.511044502258300781e+00,1.289060115814208984e+00
4.473418593406677246e-01,1.853523850440979004e+00,8.303699493408203125e-01
2.729573845863342285e-02,7.872155308723449707e-01,1.052517771720886230e+00
2.395901829004287720e-01,2.233481645584106445e+00,9.829754829406738281e-01
2.376124858856201172e-01,7.442438006401062012e-01,5.800600722432136536e-02
4.319303035736083984e-01,2.961395263671875000e+00,8.495987057685852051e-01
4.244588911533355713e-01,2.222321748733520508e+00,4.897388517856597900e-01
3.664935827255249023e-01,8.557753562927246094e-01,1.214459896087646484e+00
5.348081588745117188e-01,1.475007534027099609e-01,1.002708196640014648e+00
6.001783609390258789e-01,2.425596714019775391e+00,4.888513088226318359e-01
2.661805152893066406e-01,4.623562335968017578e+00,8.297752141952514648e-01
7.339500188827514648e-01,4.304610252380371094e+00,1.005906343460083008e+00
8.610035181045532227e-01,5.716196894645690918e-01,2.485515326261520386e-01
8.535490036010742188e-01,4.143875598907470703e+00,6.067818403244018555e-01
7.796893119812011719e-01,3.418588638305664062e+00,6.953257918357849121e-01
7.931033372879028320e-01,2.122622251510620117e+00,1.177462339401245117e+00
6.019828915596008301e-01,2.345740318298339844e+00,3.483541309833526611e-01
9.062839150428771973e-01,2.679349184036254883e+00,1.125053644180297852e+00
8.475891947746276855e-01,6.364365220069885254e-01,9.689252376556396484e-01
9.101778864860534668e-01,6.267626285552978516e-01,9.645736813545227051e-01
1.885663121938705444e-01,1.860783338546752930e+00,1.030664086341857910e+00
2.530795037746429443e-01,4.766813278198242188e+00,5.710338354110717773e-01
9.582284688949584961e-01,6.634462475776672363e-01,3.307484984397888184e-01
1.866308599710464478e-01,4.258189678192138672e+00,1.127408862113952637e+00
5.530749559402465820e-01,4.140751361846923828e-01,7.196242809295654297e-01
2.838500738143920898e-01,1.033138513565063477e+00,5.897088050842285156e-01
3.351632952690124512e-01,1.793555021286010742e+00,4.011558890342712402e-01
2.397087402641773224e-03,2.626018285751342773e+00,1.089124202728271484e+00
4.451497495174407959e-01,2.666181802749633789e+00,7.654433250427246094e-01
8.504847288131713867e-01,1.104428887367248535e+00,9.150201678276062012e-01
9.167334437370300293e-01,3.837373971939086914e+00,8.881140947341918945e-01
2.505186572670936584e-02,3.023816108703613281e+00,7.306095957756042480e-01
6.833993792533874512e-01,4.693892955780029297e+00,2.963394224643707275e-01
4.215693473815917969e-01,1.016707062721252441e+00,9.483802318572998047e-01
2.607713639736175537e-01,1.393233656883239746e+00,8.330733776092529297e-01
3.949228674173355103e-02,1.747670888900756836e+00,6.258439421653747559e-01
9.961029887199401855e-01,1.348814725875854492e+00,3.371528387069702148e-01
5.784096121788024902e-01,3.991166353225708008e-01,3.406875431537628174e-01
1.867016404867172241e-01,4.414693355560302734e+00,6.333871483802795410e-01
8.842527866363525391e-01,1.061145186424255371e+00,1.410050511360168457e+00
1.254206299781799316e-01,4.731701850891113281e+00,3.244138360023498535e-01
6.247286200523376465e-01,1.031437993049621582e+00,1.431583762168884277e+00
1.951836943626403809e-01,6.300001740455627441e-01,1.253324389457702637e+00
9.690980315208435059e-01,2.052685499191284180e+00,5.482861399650573730e-01
1.412177085876464844e-01,8.534571528434753418e-01,4.466165006160736084e-01
5.058953166007995605e-01,4.227323532104492188e+00,1.005655646324157715e+00
1.858165673911571503e-02,1.976268291473388672e+00,1.541922241449356079e-01
2.516101300716400146e-01,4.452624320983886719e+00,3.692009150981903076e-01
1.056474968791007996e-01,1.770028948783874512e+00,3.651915192604064941e-01
3.481988906860351562e-01,3.655961751937866211e+00,6.194601058959960938e-01
6.696660518646240234e-01,4.445608139038085938e+00,1.246672272682189941e+00
3.304787278175354004e-01,8.766066431999206543e-01,1.052805900573730469e+00
3.951505124568939209e-01,4.178068161010742188e+00,6.111062169075012207e-01
8.331730961799621582e-01,4.564146518707275391e+00,6.933647990226745605e-01
6.340473294258117676e-01,4.594849586486816406e+00,1.093520760536193848e+00
5.092396736145019531e-01,5.789126753807067871e-01,2.166102975606918335e-01
2.021257020533084869e-02,1.932598114013671875e+00,5.946875214576721191e-01
5.866857767105102539e-01,3.650751829147338867e+00,6.007309556007385254e-01
4.913153946399688721e-01,4.248709201812744141e+00,1.409212470054626465e+00
3.015647530555725098e-01,2.253599405288696289e+00,1.072742581367492676e+00
4.481023252010345459e-01,3.462774753570556641e+00,1.796610802412033081e-01
1.561270803213119507e-01,3.635020256042480469e+00,8.883011341094970703e-01
7.840834856033325195e-01,3.895404338836669922e+00,6.860354542732238770e-01
2.039780765771865845e-01,3.695822715759277344e+00,5.018088221549987793e-01
6.842573732137680054e-02,4.192070484161376953e+00,1.316599607467651367e+00
2.715775966644287109e-01,3.975538253784179688e+00,3.274920582771301270e-01
2.839899659156799316e-01,4.012510299682617188e+00,4.461027681827545166e-01
8.093905448913574219e-01,3.990778923034667969e+00,1.135161399841308594e+00
1.832746863365173340e-01,1.550758242607116699e+00,5.115897655487060547e-01
8.785476684570312500e-01,3.302869081497192383e+00,6.550328731536865234e-01
8.279587030410766602e-01,2.767223358154296875e+00,1.134302258491516113e+00
3.454084396362304688e-01,3.549302577972412109e+00,2.460298538208007812e-01
6.978395581245422363e-02,4.976508617401123047e-01,1.091195702552795410e+00
5.055555105209350586e-01,3.407762050628662109e-01,7.751138210296630859e-01
4.693994224071502686e-01,4.220381736755371094e+00,2.243169397115707397e-01
8.476096987724304199e-01,2.656367301940917969e+00,7.607510685920715332e-01
3.908613324165344238e-01,3.656335473060607910e-01,1.020139694213867188e+00
3.400405645370483398e-01,2.958323001861572266e+00,4.727498292922973633e-01
6.239184141159057617e-01,9.750468730926513672e-01,7.131310701370239258e-01
6.575851440429687500e-01,2.253761291503906250e+00,3.019180595874786377e-01
7.025858759880065918e-01,4.303723335266113281e+00,8.482509851455688477e-01
2.109089046716690063e-01,3.581419587135314941e-01,9.227498769760131836e-01
4.495548605918884277e-01,8.162065595388412476e-02,8.921669721603393555e-01
3.983857333660125732e-01,1.398863554000854492e+00,9.083439707756042480e-01
6.777689456939697266e-01,9.189842939376831055e-01,6.546403765678405762e-01
1.685203760862350464e-01,2.734631538391113281e+00,1.015425086021423340e+00
5.331767350435256958e-02,2.335414886474609375e+00,1.190971493721008301e+00
4.194544255733489990e-01,8.829315304756164551e-01,8.671078085899353027e-01
8.183937072753906250e-01,1.880901694297790527e+00,1.143134832382202148e+00
2.228492200374603271e-01,8.035218715667724609e-01,1.249921441078186035e+00
4.826016426086425781e-01,6.674728393554687500e-01,3.996230959892272949e-01
5.827420949935913086e-01,4.628093242645263672e+00,3.375689387321472168e-01
2.112746685743331909e-01,1.055927991867065430e+00,1.272932529449462891e+00
4.071674942970275879e-01,2.020864725112915039e+00,3.207507431507110596e-01
1.209431961178779602e-01,4.018290638923645020e-01,1.021329402923583984e+00
5.549733042716979980e-01,2.054158687591552734e+00,8.090912699699401855e-01
2.541081309318542480e-01,4.276031494140625000e+00,6.243528127670288086e-01
8.500046730041503906e-01,3.205576658248901367e+00,9.842400550842285156e-01
2.261957228183746338e-01,4.645062446594238281e+00,9.720004200935363770e-01
4.408126473426818848e-01,2.138880729675292969e+00,1.102448821067810059e+00
9.522758126258850098e-01,4.174739122390747070e-01,3.918200135231018066e-01
5.312361717224121094e-01,7.449423074722290039e-01,1.144261002540588379e+00
6.570702195167541504e-01,1.905786991119384766e+00,5.177895426750183105e-01
1.915215253829956055e-01,3.267763853073120117e+00,6.658567786216735840e-01
7.313898205757141113e-01,1.512627482414245605e+00,2.242689430713653564e-01
5.138682201504707336e-03,7.556217312812805176e-01,6.535507440567016602e-01
6.083972454071044922e-01,9.125707149505615234e-01,5.462233424186706543e-01
2.790025472640991211e-01,1.248858451843261719e+00,5.292478203773498535e-01
7.055854201316833496e-01,6.730947494506835938e-01,1.622357070446014404e-01
2.856491506099700928e-01,2.086356401443481445e+00,6.797803640365600586e-01
9.532469511032104492e-01,3.234362602233886719e+00,6.387665271759033203e-01
8.023905158042907715e-01,3.597953319549560547e+00,1.069080471992492676e+00
2.741337418556213379e-01,5.779017806053161621e-01,1.135938405990600586e+00
4.565586745738983154e-01,3.571191072463989258e+00,2.437822520732879639e-01
5.405785441398620605e-01,1.800241827964782715e+00,8.967424035072326660e-01
3.008349835872650146e-01,2.888137578964233398e+00,2.254942953586578369e-01
2.917840182781219482e-01,5.154076218605041504e-01,6.446707844734191895e-01
9.590483307838439941e-01,2.262971639633178711e+00,3.517844676971435547e-01
1.570232808589935303e-01,4.219625473022460938e+00,1.206994891166687012e+00
7.903572320938110352e-01,6.671638488769531250e-01,3.551593124866485596e-01
4.709742963314056396e-01,2.306405067443847656e+00,7.764086127281188965e-01
2.125436365604400635e-01,5.644723773002624512e-01,1.736621409654617310e-01
8.941416144371032715e-01,3.988793134689331055e+00,1.292822718620300293e+00
2.118370682001113892e-01,4.955177307128906250e+00,7.366932630538940430e-01
7.728707790374755859e-01,3.809482812881469727e+00,9.006145000457763672e-01
9.849231243133544922e-01,3.495982170104980469e+00,4.904070198535919189e-01
4.187762141227722168e-01,2.059735536575317383e+00,7.092190384864807129e-01
3.791531920433044434e-01,5.128340125083923340e-01,8.747820854187011719e-01
2.000387571752071381e-02,4.763044834136962891e+00,1.160387158393859863e+00
1.210247799754142761e-01,2.571753501892089844e+00,2.471363693475723267e-01
3.524162173271179199e-01,4.651182174682617188e+00,1.057138681411743164e+00
8.864564895629882812e-01,1.809785842895507812e+00,1.044386744499206543e+00
8.654184937477111816e-01,8.946980834007263184e-01,2.994612455368041992e-01
3.979966938495635986e-01,3.706938743591308594e+00,7.343137860298156738e-01
6.811817884445190430e-01,4.528655052185058594e+00,6.260840892791748047e-01
4.643305540084838867e-01,3.617839813232421875e-01,1.287014126777648926e+00
2.645759284496307373e-01,1.856233716011047363e+00,8.257014751434326172e-01
8.206494450569152832e-01,1.867471933364868164e+00,1.434163331985473633e+00
7.450279593467712402e-01,4.087502479553222656e+00,5.658867955207824707e-01
2.556541264057159424e-01,3.563385605812072754e-01,4.257097542285919189e-01
6.309934854507446289e-01,2.594422101974487305e+00,7.476366758346557617e-01
3.595405220985412598e-01,1.104399085044860840e+00,1.478045344352722168e+00
7.941341400146484375e-01,7.829596996307373047e-01,1.170055866241455078e+00
2.606350779533386230e-01,3.541607856750488281e+00,2.792765200138092041e-01
9.906519204378128052e-02,3.264017820358276367e+00,8.797588348388671875e-01
6.993023753166198730e-01,1.770650029182434082e+00,5.838526487350463867e-01
8.052635192871093750e-01,3.796602964401245117e+00,5.388984680175781250e-01
7.598995417356491089e-02,1.663909912109375000e+00,2.093509137630462646e-01
7.176348567008972168e-01,1.884452998638153076e-02,8.199440836906433105e-01
6.821919083595275879e-01,3.255831241607666016e+00,4.310489296913146973e-01
5.432271584868431091e-02,2.449396133422851562e+00,3.757107257843017578e-01
8.145861625671386719e-01,3.038163900375366211e+00,1.287132143974304199e+00
6.995055675506591797e-01,3.209254264831542969e+00,4.055066406726837158e-01
2.369356900453567505e-01,4.716377735137939453e+00,2.543075382709503174e-01
4.926140010356903076e-01,1.081460833549499512e+00,3.977299332618713379e-01
1.890919506549835205e-01,1.896603345870971680e+00,5.997129678726196289e-01
1.048596799373626709e-01,4.468108654022216797e+00,1.728536933660507202e-01
7.814365625381469727e-01,1.181970596313476562e+00,1.210165262222290039e+00
5.462688803672790527e-01,1.443963408470153809e+00,7.237685322761535645e-01
6.944737434387207031e-01,4.093635082244873047e+00,1.708939224481582642e-01
9.119836091995239258e-01,2.370940923690795898e+00,6.123436093330383301e-01
1.305057555437088013e-01,4.350427150726318359e+00,6.550944447517395020e-01
8.129907846450805664e-01,3.794028997421264648e+00,9.788827896118164062e-01
2.903263829648494720e-02,4.960779666900634766e+00,8.658253550529479980e-01
9.408390522003173828e-01,3.700042724609375000e+00,4.474330842494964600e-01
9.471633285284042358e-02,4.195828914642333984e+00,5.710460543632507324e-01
5.969415307044982910e-01,7.895992398262023926e-01,1.294347167015075684e+00
8.045244812965393066e-01,9.633851051330566406e-01,8.858515024185180664e-01
7.853308320045471191e-01,2.154720544815063477e+00,3.130824565887451172e-01
8.377045392990112305e-01,2.674794435501098633e+00,6.645327806472778320e-01
7.836494445800781250e-01,3.857384204864501953e+00,5.353270769119262695e-01
6.970454454421997070e-01,2.688087940216064453e+00,3.187135756015777588e-01
3.658650517463684082e-01,8.620134592056274414e-01,3.757343590259552002e-01
2.902204692363739014e-01,8.756262063980102539e-01,1.165821194648742676e+00
5.091883540153503418e-01,4.759536743164062500e+00,9.807786345481872559e-01
3.034896552562713623e-01,2.096012830734252930e+00,2.921752035617828369e-01
4.062229394912719727e-01,4.127161979675292969e+00,3.838037848472595215e-01
8.419306874275207520e-01,4.494190216064453125e+00,8.683819174766540527e-01
5.524436235427856445e-01,4.139468669891357422e+00,2.427423000335693359e-01
2.141124755144119263e-01,2.322636604309082031e+00,1.092370986938476562e+00
7.231023311614990234e-01,6.102965474128723145e-01,8.666548728942871094e-01
5.861029624938964844e-01,4.592554092407226562e+00,9.200144410133361816e-01
5.843682885169982910e-01,3.637747049331665039e+00,8.084554672241210938e-01
5.517141819000244141e-01,3.495981454849243164e+00,2.424387633800506592e-01
1.827515512704849243e-01,4.428094863891601562e+00,1.038549304008483887e+00
7.201677560806274414e-01,4.177121639251708984e+00,9.148743748664855957e-01
2.305977642536163330e-01,2.715728759765625000e+00,7.745403051376342773e-01
8.187826871871948242e-01,2.121585369110107422e+00,1.249823331832885742e+00
2.419086992740631104e-01,2.365005254745483398e+00,5.008603334426879883e-01
5.522932410240173340e-01,3.309738397598266602e+00,1.275284528732299805e+00
2.987925112247467041e-01,1.875577449798583984e+00,3.970559239387512207e-01
9.014106392860412598e-01,2.983227491378784180e+00,7.948400974273681641e-01
4.508803784847259521e-01,6.606103777885437012e-01,6.775912642478942871e-01
4.328987598419189453e-01,6.337475180625915527e-01,9.728030562400817871e-01
3.408885300159454346e-01,8.198693394660949707e-01,2.682358324527740479e-01
2.026625275611877441e-01,4.866764545440673828e-01,3.728289902210235596e-01
6.362696290016174316e-01,3.782144784927368164e-01,1.323065161705017090e+00
6.250627636909484863e-01,6.490114331245422363e-01,5.871021151542663574e-01
6.764438152313232422e-01,4.735794067382812500e+00,9.565816521644592285e-01
6.879044175148010254e-01,9.060977697372436523e-01,7.207037806510925293e-01
3.787609040737152100e-01,1.350033998489379883e+00,4.154666662216186523e-01
8.534414172172546387e-01,3.645435810089111328e+00,3.557061851024627686e-01
8.327719569206237793e-01,2.650303840637207031e+00,1.275243997573852539e+00
5.573023557662963867e-01,3.148085117340087891e+00,3.464975357055664062e-01
4.833748936653137207e-02,1.588368654251098633e+00,7.535976171493530273e-01
1.562660038471221924e-01,4.113180637359619141e+00,1.241773009300231934e+00
1.024363562464714050e-02,1.771882653236389160e+00,1.138939857482910156e+00
4.584287106990814209e-01,1.121022582054138184e+00,5.019809007644653320e-01
8.298764228820800781e-01,2.922539949417114258e+00,1.093271851539611816e+00
6.157578229904174805e-01,3.438307523727416992e+00,1.165295839309692383e+00
8.660189509391784668e-01,1.051354289054870605e+00,6.515350341796875000e-01
7.660990953445434570e-01,1.830646753311157227e+00,8.275055289268493652e-01
4.792673587799072266e-01,5.368524789810180664e-01,3.510818481445312500e-01
6.103225350379943848e-01,3.185294389724731445e+00,8.176912665367126465e-01
6.539450883865356445e-01,3.221288681030273438e+00,1.172906637191772461e+00
4.211682379245758057e-01,2.445220947265625000e+00,3.197401463985443115e-01
6.609749048948287964e-02,8.736983537673950195e-01,5.634872913360595703e-01
