omega,lambda_p,pi_bar
6.831665039062500000e-01,4.407244682312011719e+00,6.075536608695983887e-01
7.438855171203613281e-01,2.389797449111938477e+00,1.166737318038940430e+00
8.539479970932006836e-01,4.353220939636230469e+00,6.525467634201049805e-01
9.451745427213609219e-04,9.181121587753295898e-01,6.711129546165466309e-01
8.981391787528991699e-01,3.412288665771484375e+00,6.641679406166076660e-01
7.184964418411254883e-01,3.448562145233154297e+00,9.706407785415649414e-01
3.466280996799468994e-01,4.196324348449707031e+00,8.036361336708068848e-01
4.255078434944152832e-01,3.429791927337646484e+00,1.728923320770263672e-01
7.462044358253479004e-01,1.762202233076095581e-01,2.761793434619903564e-01
2.216997742652893066e-01,6.065415963530540466e-02,1.748025566339492798e-01
3.978230655193328857e-01,4.929631233215332031e+00,4.065362811088562012e-01
5.591703653335571289e-01,3.640544176101684570e+00,1.032232284545898438e+00
5.023142099380493164e-01,3.031466960906982422e+00,4.389182329177856445e-01
1.973591744899749756e-01,1.833005070686340332e+00,7.320256829261779785e-01
2.079199552536010742e-01,4.697701454162597656e+00,7.729227542877197266e-01
2.744538187980651855e-01,5.684204399585723877e-02,2.275638580322265625e-01
7.812367677688598633e-01,1.002582386136054993e-01,1.450673103332519531e+00
5.312479734420776367e-01,1.926163554191589355e+00,6.804694235324859619e-02
9.799017906188964844e-01,5.321711301803588867e-01,8.617585897445678711e-01
9.615556001663208008e-01,1.895964860916137695e+00,3.707678020000457764e-01
9.721412658691406250e-01,6.571875214576721191e-01,8.043585419654846191e-01
9.272320270538330078e-01,3.872997522354125977e+00,2.827063798904418945e-01
7.787505984306335449e-01,1.499657750129699707e+00,6.925168633460998535e-01
3.404166400432586670e-01,2.968197584152221680e+00,1.133910775184631348e+00
3.314903378486633301e-01,6.153052672743797302e-02,7.134611606597900391e-01
8.059691786766052246e-01,3.648184984922409058e-02,8.556680679321289062e-01
5.831901431083679199e-01,2.505911290645599365e-01,5.247503519058227539e-01
4.878874421119689941e-01,1.208992719650268555e+00,5.989625453948974609e-01
1.211750432848930359e-01,7.929934263229370117e-01,1.008850485086441040e-01
1.081449445337057114e-02,3.729112386703491211e+00,1.365157008171081543e+00
8.942356109619140625e-01,2.430921316146850586e+00,1.191338896751403809e+00
2.431269139051437378e-01,1.512747883796691895e+00,9.967194795608520508e-01
2.064411938190460205e-01,2.550076007843017578e+00,3.872172236442565918e-01
9.798184037208557129e-03,1.680265188217163086e+00,2.000395059585571289e-01
3.626750037074089050e-02,3.521925210952758789e+00,1.348968267440795898e+00
1.371383816003799438e-01,3.038716077804565430e+00,6.402108818292617798e-02
3.323475271463394165e-02,2.623225212097167969e+00,5.956751704216003418e-01
1.719211339950561523e-01,4.201712608337402344e+00,1.099607825279235840e+00
6.695413589477539062e-01,1.600442081689834595e-01,1.103768110275268555e+00
8.855718970298767090e-01,4.880058288574218750e+00,1.357206583023071289e+00
1.378271430730819702e-01,2.761270284652709961e+00,1.173516511917114258e-01
2.886807918548583984e-01,3.882987976074218750e+00,1.351425170898437500e+00
7.174532413482666016e-01,4.145947933197021484e+00,9.440686702728271484e-01
1.693303138017654419e-01,3.925165414810180664e+00,8.062734603881835938e-01
1.488606780767440796e-01,9.376987218856811523e-01,1.250506043434143066e+00
2.908099889755249023e-01,2.780661106109619141e+00,2.531585693359375000e-01
8.116725087165832520e-01,2.743804454803466797e+00,1.071872711181640625e+00
1.380599290132522583e-01,1.765261292457580566e+00,8.979351520538330078e-01
1.476034522056579590e-01,1.750200986862182617e+00,1.010690212249755859e+00
2.424186319112777710e-01,1.907032489776611328e+00,4.490937590599060059e-01
1.944781243801116943e-01,3.627067565917968750e+00,4.204879403114318848e-01
4.821271896362304688e-01,2.691505432128906250e+00,1.137463688850402832e+00
5.525271296501159668e-01,2.079899072647094727e+00,1.198256373405456543e+00
6.662786602973937988e-01,3.950541734695434570e+00,4.128609225153923035e-02
5.065995454788208008e-01,4.744450569152832031e+00,3.195434436202049255e-02
3.562095165252685547e-01,3.521764993667602539e+00,6.763197481632232666e-02
7.875943779945373535e-01,2.436864376068115234e+00,8.785531520843505859e-01
5.691197514533996582e-01,1.013947844505310059e+00,2.453535497188568115e-01
4.470232725143432617e-01,4.228785037994384766e+00,1.376183986663818359e+00
3.080788552761077881e-01,1.023802757263183594e+00,1.025872945785522461e+00
3.995400667190551758e-01,2.189985990524291992e+00,6.180419921875000000e-01
7.835215926170349121e-01,2.348091453313827515e-01,4.596777558326721191e-01
2.358921468257904053e-01,1.714976429939270020e-01,3.344247937202453613e-01
8.011521100997924805e-01,4.685544013977050781e+00,1.076612949371337891e+00
1.902385503053665161e-01,2.034593582153320312e+00,4.310984015464782715e-01
5.774953365325927734e-01,1.902436137199401855e+00,1.037777066230773926e+00
9.773029088973999023e-01,2.946027994155883789e+00,3.741911649703979492e-01
6.530725955963134766e-02,4.111078739166259766e+00,6.828558444976806641e-01
7.887910008430480957e-01,4.878710269927978516e+00,1.261499524116516113e-01
7.036262750625610352e-01,2.211151838302612305e+00,3.415404260158538818e-01
6.802859902381896973e-01,1.073789238929748535e+00,1.166318774223327637e+00
3.545847535133361816e-02,4.569191932678222656e+00,1.220425009727478027e+00
3.058259375393390656e-02,3.910305500030517578e+00,3.651240766048431396e-01
3.662552684545516968e-02,2.850989818572998047e+00,1.187482118606567383e+00
2.762620709836483002e-02,3.519407749176025391e+00,1.294484734535217285e+00
4.976414144039154053e-01,3.722106218338012695e+00,1.371872901916503906e+00
6.589445471763610840e-01,2.422043561935424805e+00,9.186745882034301758e-01
5.514404177665710449e-01,3.592109441757202148e+00,6.086555719375610352e-01
7.908017039299011230e-01,1.159585356712341309e+00,9.267055988311767578e-01
1.870320439338684082e-01,4.880055189132690430e-01,3.846049308776855469e-01
3.630757927894592285e-01,3.651832103729248047e+00,1.238915920257568359e+00
8.038923740386962891e-01,1.561541914939880371e+00,7.886708527803421021e-02
8.515319228172302246e-02,4.607394218444824219e+00,4.310719966888427734e-01
6.173407435417175293e-01,5.635971426963806152e-01,3.574337363243103027e-01
8.057922124862670898e-02,2.337325572967529297e+00,6.809997558593750000e-01
1.270711421966552734e-01,3.878438770771026611e-01,3.927222490310668945e-01
9.350105524063110352e-01,1.007929563522338867e+00,7.482011914253234863e-01
8.351602405309677124e-02,3.656152725219726562e+00,2.205815613269805908e-01
1.481253206729888916e-01,2.739925146102905273e+00,9.543348103761672974e-03
7.237019538879394531e-01,7.782108187675476074e-01,1.882650703191757202e-02
4.821898639202117920e-01,1.104960322380065918e+00,1.325902700424194336e+00
9.165442585945129395e-01,1.929942965507507324e+00,8.876207470893859863e-01
3.139322400093078613e-01,3.728952169418334961e+00,8.528081178665161133e-01
6.935009360313415527e-01,3.801956176757812500e+00,1.137293949723243713e-01
4.378120601177215576e-01,3.473718643188476562e+00,1.391410827636718750e+00
2.780967354774475098e-01,3.554397821426391602e+00,1.353620767593383789e+00
5.789301991462707520e-01,3.563537359237670898e+00,4.499887526035308838e-01
6.295031309127807617e-01,1.468527317047119141e+00,8.523963689804077148e-01
4.081692695617675781e-01,1.248324155807495117e+00,1.120143890380859375e+00
6.874210238456726074e-01,2.315406084060668945e+00,2.986764609813690186e-01
1.019652560353279114e-01,2.558395862579345703e+00,1.329403162002563477e+00
4.374922811985015869e-01,3.148939371109008789e+00,6.172158718109130859e-01
6.402971744537353516e-01,4.112807750701904297e+00,9.444395303726196289e-01
1.994271203875541687e-02,4.811317443847656250e+00,6.710542440414428711e-01
8.794637322425842285e-01,2.358053207397460938e+00,7.231193184852600098e-01
2.778365612030029297e-01,2.288953304290771484e+00,9.295125007629394531e-01
1.469099372625350952e-01,3.676484346389770508e+00,2.278493046760559082e-01
8.461818099021911621e-01,1.077819347381591797e+00,1.240566015243530273e+00
7.975746393203735352e-01,9.338420629501342773e-01,1.242550611495971680e+00
9.364404082298278809e-01,3.230410337448120117e+00,3.939328789710998535e-01
3.581168055534362793e-01,3.080705404281616211e+00,5.540096759796142578e-01
2.645443379878997803e-01,9.847305417060852051e-01,1.103390812873840332e+00
