omega,lambda_p,pi_bar
8.628040552139282227e-01,3.925640583038330078e+00,4.218198060989379883e-01
4.293782413005828857e-01,3.744457006454467773e+00,1.230514764785766602e+00
3.058543205261230469e-01,4.956607520580291748e-01,2.627221643924713135e-01
1.299064755439758301e-01,1.457266807556152344e+00,1.955784112215042114e-02
2.448654025793075562e-01,4.533596515655517578e+00,1.307816147804260254e+00
6.938946843147277832e-01,3.149758815765380859e+00,5.830911993980407715e-01
2.855646610260009766e-01,3.797513484954833984e+00,5.876101255416870117e-01
2.969339191913604736e-01,9.587372541427612305e-01,1.060806989669799805e+00
8.091419935226440430e-01,3.376096963882446289e+00,3.047495782375335693e-01
4.978553056716918945e-01,3.853572130203247070e+00,1.835753023624420166e-01
5.295228362083435059e-01,1.005250930786132812e+00,5.968737602233886719e-01
3.659281134605407715e-01,3.329621076583862305e+00,9.322597086429595947e-02
8.357000946998596191e-01,4.747716903686523438e+00,4.043904542922973633e-01
1.851098835468292236e-01,4.770303249359130859e+00,7.741057276725769043e-01
9.746076464653015137e-01,1.446578860282897949e+00,7.885177731513977051e-01
8.660070300102233887e-01,1.438546299934387207e+00,5.549077987670898438e-01
8.020951151847839355e-01,3.040849447250366211e+00,9.857237339019775391e-01
7.247952818870544434e-01,3.465968847274780273e+00,1.065613031387329102e+00
7.296033501625061035e-01,2.111769199371337891e+00,8.224214315414428711e-01
4.419298768043518066e-01,4.613868236541748047e+00,9.638902544975280762e-01
7.779390215873718262e-01,1.201137900352478027e+00,8.544673919677734375e-01
6.522629857063293457e-01,3.584735870361328125e+00,5.916036963462829590e-01
3.469214439392089844e-01,4.518143653869628906e+00,5.895140767097473145e-01
2.452296465635299683e-01,1.040949583053588867e+00,1.017786502838134766e+00
7.375963330268859863e-01,1.197207927703857422e+00,4.942209124565124512e-01
1.572236865758895874e-01,9.293131232261657715e-01,1.016485691070556641e+00
2.277327328920364380e-01,7.429986000061035156e-01,4.039427340030670166e-01
7.443915009498596191e-01,2.522510290145874023e-01,6.369202136993408203e-01
4.793842434883117676e-01,3.944067001342773438e+00,6.973820924758911133e-01
1.402386128902435303e-01,2.668405473232269287e-01,1.163204193115234375e+00
5.196657776832580566e-01,3.949569165706634521e-01,6.110187172889709473e-01
4.862349927425384521e-01,4.293297290802001953e+00,2.069424092769622803e-01
8.345572948455810547e-01,6.744895577430725098e-01,1.171651244163513184e+00
4.238420631736516953e-03,3.588595390319824219e+00,1.675080060958862305e-01
8.209286928176879883e-01,3.580848932266235352e+00,4.074386358261108398e-01
4.081818461418151855e-01,3.973515033721923828e+00,1.750932037830352783e-01
2.171268463134765625e-01,4.706464111804962158e-01,1.257044434547424316e+00
7.663455605506896973e-01,3.209355473518371582e-01,1.190133213996887207e+00
4.632502496242523193e-01,4.493531703948974609e+00,4.980635046958923340e-01
4.575214385986328125e-01,4.286254346370697021e-01,6.740400195121765137e-01
4.121727645397186279e-01,3.680762290954589844e+00,5.444078445434570312e-01
6.808000802993774414e-01,9.691705703735351562e-01,9.866618514060974121e-01
6.927768588066101074e-01,2.610295057296752930e+00,8.049758076667785645e-01
8.048266172409057617e-01,4.897720813751220703e+00,4.480323493480682373e-01
9.038391709327697754e-01,1.196350380778312683e-01,1.012667059898376465e+00
5.777202248573303223e-01,4.291207313537597656e+00,7.751811295747756958e-02
1.961769461631774902e-01,4.146373748779296875e+00,8.595668077468872070e-01
3.050312399864196777e-01,5.363525748252868652e-01,1.603450626134872437e-01
2.720288336277008057e-01,3.812238574028015137e-01,9.622891247272491455e-02
2.088232189416885376e-01,4.307445049285888672e+00,8.630641698837280273e-01
6.893277764320373535e-01,3.730547666549682617e+00,7.264956831932067871e-02
9.652273356914520264e-02,3.224882364273071289e+00,6.876747310161590576e-02
