omega,lambda_p,pi_bar
9.765219688415527344e-01,7.913398146629333496e-01,6.327987313270568848e-01
6.383001059293746948e-02,2.409823417663574219e+00,8.080638647079467773e-01
3.535925876349210739e-03,1.928218603134155273e+00,3.239531219005584717e-01
1.846858561038970947e-01,4.019668102264404297e+00,2.681486904621124268e-01
6.348047852516174316e-01,1.105015039443969727e+00,8.810394406318664551e-01
4.391940310597419739e-02,2.617029190063476562e+00,5.943886041641235352e-01
4.306831061840057373e-01,3.440244197845458984e+00,3.774418830871582031e-01
5.872366428375244141e-01,3.011733055114746094e+00,4.510762393474578857e-01
9.353427290916442871e-01,3.579416036605834961e+00,7.597325444221496582e-01
6.426883935928344727e-01,2.547775745391845703e+00,9.664196372032165527e-01
7.381142973899841309e-01,4.851964950561523438e+00,3.953423798084259033e-01
4.366617500782012939e-01,4.520217895507812500e+00,1.432443261146545410e-01
4.455772787332534790e-02,1.458097398281097412e-01,6.669458150863647461e-01
5.181562900543212891e-01,2.665429353713989258e+00,9.333998560905456543e-01
7.289544939994812012e-01,8.177903890609741211e-01,4.983730018138885498e-01
5.513849854469299316e-01,2.671537160873413086e+00,9.954162240028381348e-01
4.217215478420257568e-01,1.143057465553283691e+00,3.984167873859405518e-01
5.859990715980529785e-01,3.026197671890258789e+00,4.293298125267028809e-01
2.167635858058929443e-01,4.144604206085205078e+00,5.025437474250793457e-01
9.931434392929077148e-01,1.689406394958496094e+00,5.298374891281127930e-01
4.622033536434173584e-01,5.240595340728759766e-01,2.453848868608474731e-01
6.896298527717590332e-01,2.951099157333374023e+00,3.718411624431610107e-01
6.786848902702331543e-01,4.963366508483886719e+00,3.474308252334594727e-01
3.989976942539215088e-01,9.562240839004516602e-01,6.802234053611755371e-01
9.740099906921386719e-01,5.007774233818054199e-01,5.301178693771362305e-01
1.235744729638099670e-01,1.200099349021911621e+00,5.609499812126159668e-01
7.965162992477416992e-01,4.612150192260742188e+00,2.801125645637512207e-01
7.741293907165527344e-01,3.239741563796997070e+00,8.858457803726196289e-01
6.064839959144592285e-01,4.641000747680664062e+00,2.673327028751373291e-01
6.218423843383789062e-01,3.107895374298095703e+00,2.633360624313354492e-01
6.540057063102722168e-02,3.487937211990356445e+00,3.608109056949615479e-01
2.583721876144409180e-01,5.007929801940917969e-01,3.836941123008728027e-01
1.633485555648803711e-01,8.134438395500183105e-01,9.488101005554199219e-01
1.963199973106384277e-01,4.260630607604980469e+00,5.517195463180541992e-01
7.053328752517700195e-01,3.636914253234863281e+00,2.290922552347183228e-01
2.346138954162597656e-01,2.785982131958007812e+00,2.707788906991481781e-02
2.773192822933197021e-01,1.368429899215698242e+00,9.697692394256591797e-01
5.420870184898376465e-01,2.564182758331298828e+00,7.875484824180603027e-01
5.659147500991821289e-01,3.652067422866821289e+00,7.274856567382812500e-01
7.016458511352539062e-01,2.026287078857421875e+00,4.601595103740692139e-01
1.730485260486602783e-01,6.103954315185546875e-01,6.929282546043395996e-01
7.470643520355224609e-01,1.786942005157470703e+00,7.320628762245178223e-01
5.458331704139709473e-01,3.519159555435180664e+00,1.156584322452545166e-01
1.852566897869110107e-01,3.499868154525756836e+00,3.982537612318992615e-02
4.763244390487670898e-01,2.252221584320068359e+00,3.575294613838195801e-01
9.129338711500167847e-02,3.350122690200805664e+00,5.636135339736938477e-01
5.688644647598266602e-01,4.173089981079101562e+00,5.170173645019531250e-01
5.813469290733337402e-01,8.258533477783203125e-01,2.953899279236793518e-02
9.813586473464965820e-01,3.567226409912109375e+00,3.496855199337005615e-01
5.791879296302795410e-01,4.603879451751708984e+00,4.640525579452514648e-01
6.252321004867553711e-01,1.023833155632019043e+00,6.536281853914260864e-02
1.951984316110610962e-01,3.144286870956420898e+00,6.381397843360900879e-01
6.729595363140106201e-02,2.627802193164825439e-01,2.483808845281600952e-01
6.623391509056091309e-01,1.836842060089111328e+00,9.382504820823669434e-01
5.547114089131355286e-02,1.750323772430419922e+00,7.588809132575988770e-01
6.666315793991088867e-01,2.560230493545532227e+00,9.253363609313964844e-01
2.901877164840698242e-01,1.484678268432617188e+00,4.405442476272583008e-01
2.358942776918411255e-01,4.377851009368896484e+00,4.034407064318656921e-02
4.284706711769104004e-01,3.370236158370971680e+00,4.828034043312072754e-01
2.542807459831237793e-01,1.808098912239074707e+00,5.907611846923828125e-01
6.792618036270141602e-01,6.742355823516845703e-01,6.130979061126708984e-01
3.147161602973937988e-01,4.795887470245361328e+00,7.525692582130432129e-01
6.105592250823974609e-01,7.227503061294555664e-01,3.072785139083862305e-01
8.815892338752746582e-01,8.851705789566040039e-01,4.802194237709045410e-01
9.969570636749267578e-01,1.997071862220764160e+00,9.586126804351806641e-01
