omega,lambda_p,pi_bar
4.086674153804779053e-01,1.939718723297119141e+00,5.356010198593139648e-01
2.440958023071289062e-01,3.450066566467285156e+00,9.432013630867004395e-01
6.100973486900329590e-01,1.692560434341430664e+00,9.735215902328491211e-01
1.417536586523056030e-01,4.914455413818359375e+00,8.723546862602233887e-01
5.586607456207275391e-01,1.157091617584228516e+00,5.134803652763366699e-01
2.943726778030395508e-01,7.746680378913879395e-01,4.211558401584625244e-01
8.463652729988098145e-01,1.009382009506225586e+00,2.290822118520736694e-01
8.803927302360534668e-01,1.391143798828125000e+00,9.687797427177429199e-01
7.845789194107055664e-01,2.213885545730590820e+00,6.989318728446960449e-01
9.509885311126708984e-01,3.038767814636230469e+00,5.620486140251159668e-01
9.369409084320068359e-01,3.741075038909912109e+00,7.408703565597534180e-01
2.431079596281051636e-01,1.731121778488159180e+00,2.314118742942810059e-01
4.662636518478393555e-01,4.454370498657226562e+00,3.533591702580451965e-02
4.193118810653686523e-01,3.799159765243530273e+00,5.858900547027587891e-01
3.355163931846618652e-01,3.416065454483032227e+00,7.212167382240295410e-01
5.272355675697326660e-01,1.352033734321594238e+00,5.325031280517578125e-01
5.060034990310668945e-01,1.864826083183288574e+00,8.811250925064086914e-01
8.206284046173095703e-01,1.973957300186157227e+00,7.639804482460021973e-01
6.321209669113159180e-01,4.741772651672363281e+00,1.069516688585281372e-02
5.362359881401062012e-01,3.945130348205566406e+00,5.294215083122253418e-01
8.038174510002136230e-01,7.326707839965820312e-01,9.236685186624526978e-02
5.034539848566055298e-03,2.684174537658691406e+00,6.090023517608642578e-01
5.762335062026977539e-01,3.234214544296264648e+00,2.891917824745178223e-01
6.339989900588989258e-01,2.166814088821411133e+00,1.314537674188613892e-01
6.541187763214111328e-01,4.918388128280639648e-01,6.198061108589172363e-01
6.263415217399597168e-01,2.801648378372192383e+00,7.587652802467346191e-01
6.546216011047363281e-01,1.760124206542968750e+00,9.039329290390014648e-01
4.400424361228942871e-01,1.344289034605026245e-01,6.871542334556579590e-01
2.121502310037612915e-01,4.093065261840820312e+00,2.165740443160757422e-04
4.963615238666534424e-01,3.696534872055053711e+00,5.382007360458374023e-01
9.901786446571350098e-01,1.759478569030761719e+00,2.352378666400909424e-01
8.852961063385009766e-01,2.436385393142700195e+00,2.434860020875930786e-01
2.124059647321701050e-01,4.397771835327148438e+00,2.934195101261138916e-01
4.379128217697143555e-01,2.747667074203491211e+00,1.019506305456161499e-01
3.706150650978088379e-01,5.099284648895263672e-01,2.461134791374206543e-01
2.937600910663604736e-01,1.431870460510253906e+00,5.611794590950012207e-01
4.758920669555664062e-01,1.597649693489074707e+00,7.541760802268981934e-01
3.448305726051330566e-01,1.623443365097045898e+00,6.082661151885986328e-01
2.377262562513351440e-01,3.140938520431518555e+00,9.980478882789611816e-01
7.911836504936218262e-01,2.470856904983520508e+00,4.118270576000213623e-01
5.737679004669189453e-01,4.320777416229248047e+00,9.875654242932796478e-03
6.678832173347473145e-01,3.729259669780731201e-01,4.162649214267730713e-01
4.144342541694641113e-01,3.351729869842529297e+00,1.068282872438430786e-01
1.604240089654922485e-01,4.193171977996826172e+00,4.447554349899291992e-01
7.421635389328002930e-01,1.895577192306518555e+00,1.108383461833000183e-01
8.603002429008483887e-01,8.108819723129272461e-01,6.678079962730407715e-01
8.850373625755310059e-01,4.891308784484863281e+00,6.796786189079284668e-01
6.455084681510925293e-01,1.350519657135009766e+00,9.062041044235229492e-01
4.044794142246246338e-01,1.189553856849670410e+00,7.169796824455261230e-01
5.675417929887771606e-02,3.416178748011589050e-02,5.181944966316223145e-01
9.435220956802368164e-01,1.256289005279541016e+00,5.205736756324768066e-01
2.122795730829238892e-01,3.858720541000366211e+00,4.932508766651153564e-01
4.159076213836669922e-01,3.000364542007446289e+00,5.607471466064453125e-01
4.891889095306396484e-01,4.942309856414794922e+00,9.524135589599609375e-01
1.178054511547088623e-01,2.783931732177734375e+00,1.977897882461547852e-01
3.733859956264495850e-01,4.685313701629638672e+00,6.030846238136291504e-01
4.842645525932312012e-01,2.143584966659545898e+00,6.129816174507141113e-01
4.416317641735076904e-01,6.843350529670715332e-01,5.954127013683319092e-02
2.498086243867874146e-01,3.539832592010498047e+00,4.527201876044273376e-02
2.779574692249298096e-01,1.272443771362304688e+00,2.140487581491470337e-01
6.500966846942901611e-02,4.290723323822021484e+00,9.550182223320007324e-01
8.012833595275878906e-01,1.442434906959533691e+00,4.018277823925018311e-01
4.262818992137908936e-01,3.803946495056152344e+00,7.576298117637634277e-01
4.793685972690582275e-01,4.431067466735839844e+00,8.140541315078735352e-01
9.841080904006958008e-01,2.297967195510864258e+00,1.739580929279327393e-01
1.369936615228652954e-01,4.810578823089599609e+00,8.673422336578369141e-01
6.403565406799316406e-01,9.691568017005920410e-01,8.341394662857055664e-01
9.089080691337585449e-01,4.217166423797607422e+00,2.679157555103302002e-01
3.163786828517913818e-01,3.283794403076171875e+00,1.309915184974670410e-01
6.089193224906921387e-01,2.635107994079589844e+00,9.549204707145690918e-01
9.824622869491577148e-01,6.954759359359741211e-01,9.149957299232482910e-01
2.830697596073150635e-01,4.950086772441864014e-01,9.808861017227172852e-01
8.929094672203063965e-01,1.377307772636413574e+00,9.615463018417358398e-01
4.986102283000946045e-01,2.501928567886352539e+00,6.064052879810333252e-02
3.632770478725433350e-01,2.994588851928710938e+00,2.477705776691436768e-01
6.680642366409301758e-01,3.513247489929199219e+00,5.769762396812438965e-01
6.661061048507690430e-01,1.358970761299133301e+00,8.863697648048400879e-01
2.896326594054698944e-02,4.093647956848144531e+00,2.553413510322570801e-01
1.833040863275527954e-01,1.427257061004638672e-01,5.887477397918701172e-01
5.678100585937500000e-01,3.656631946563720703e+00,1.666599959135055542e-01
7.253607511520385742e-01,4.153851985931396484e+00,6.348077058792114258e-01
2.293983399868011475e-01,3.383723735809326172e+00,5.318023562431335449e-01
1.391703337430953979e-01,9.565696716308593750e-01,5.367071628570556641e-01
6.770921349525451660e-01,4.730577468872070312e+00,1.440221518278121948e-01
5.253832936286926270e-01,7.977921366691589355e-01,7.172881960868835449e-01
2.382933348417282104e-01,1.571299433708190918e+00,8.930407166481018066e-01
4.264343380928039551e-01,2.990782499313354492e+00,2.980980575084686279e-01
7.668076157569885254e-01,2.449753999710083008e+00,8.989052772521972656e-01
5.450575053691864014e-02,2.959975004196166992e+00,2.613265812397003174e-01
7.074946165084838867e-01,4.488498210906982422e+00,1.514423638582229614e-02
3.863709047436714172e-02,3.781349182128906250e+00,7.735781669616699219e-01
1.575977057218551636e-01,1.606579184532165527e+00,6.468586325645446777e-01
1.836025863885879517e-01,3.737690448760986328e+00,4.208773076534271240e-01
1.426621824502944946e-01,4.960537433624267578e+00,8.212909698486328125e-01
5.481610894203186035e-01,3.263423681259155273e+00,9.576011896133422852e-01
2.650413513183593750e-01,2.689438581466674805e+00,7.185968756675720215e-01
1.827899515628814697e-01,2.244419574737548828e+00,1.547285318374633789e-01
6.852747797966003418e-01,2.494945526123046875e+00,8.302807211875915527e-01
6.921827793121337891e-01,3.213878154754638672e+00,5.491729974746704102e-01
8.784469366073608398e-01,1.047189712524414062e+00,6.508687138557434082e-02
2.655919492244720459e-01,4.028914868831634521e-01,2.579984664916992188e-01
4.239750802516937256e-01,2.455885171890258789e+00,1.572533398866653442e-01
4.118799567222595215e-01,1.891938298940658569e-01,8.378309011459350586e-01
7.573184967041015625e-01,4.882567882537841797e+00,2.690335810184478760e-01
7.574091553688049316e-01,1.271209597587585449e+00,8.713012933731079102e-02
8.333812355995178223e-01,3.319163322448730469e+00,3.092249631881713867e-01
6.939643025398254395e-01,1.881679177284240723e+00,8.146668076515197754e-01
8.601796627044677734e-01,3.521384716033935547e+00,2.161770462989807129e-01
9.882296323776245117e-01,1.633249878883361816e+00,3.156771138310432434e-02
4.679966568946838379e-01,4.875445365905761719e+00,4.850812256336212158e-01
4.840146750211715698e-02,4.577394962310791016e+00,3.627955615520477295e-01
2.529414296150207520e-01,3.995441198348999023e+00,3.458104282617568970e-02
7.347208261489868164e-01,1.223481148481369019e-01,4.093846678733825684e-01
2.489048689603805542e-01,2.744174599647521973e-01,7.061246633529663086e-01
5.032441616058349609e-01,3.501795530319213867e+00,5.554243922233581543e-01
9.570313692092895508e-01,3.893549919128417969e+00,1.220140606164932251e-02
2.939001321792602539e-01,1.877910017967224121e+00,9.214283823966979980e-01
3.393172621726989746e-01,1.728844404220581055e+00,6.585944294929504395e-01
7.140509784221649170e-02,3.682317256927490234e+00,2.616233229637145996e-01
