omega,lambda_p,pi_bar
1.953876018524169922e-01,3.887167930603027344e+00,5.341585874557495117e-01
2.139076441526412964e-01,1.686107397079467773e+00,1.853730320930480957e+00
5.112943053245544434e-01,8.013042807579040527e-01,7.564024329185485840e-01
1.994593590497970581e-01,1.813224911689758301e+00,1.833523392677307129e+00
1.013592407107353210e-01,3.439777612686157227e+00,1.459046483039855957e+00
5.762960910797119141e-01,1.773530244827270508e+00,1.559163928031921387e+00
5.344490408897399902e-01,1.070790886878967285e+00,7.787870168685913086e-01
9.665550589561462402e-01,2.463351726531982422e+00,8.720886707305908203e-01
3.513298928737640381e-01,4.692588806152343750e+00,1.081197619438171387e+00
2.995793819427490234e-01,3.535599112510681152e-01,1.978947043418884277e+00
6.620123237371444702e-02,3.228840112686157227e+00,2.573887109756469727e-01
1.101279556751251221e-01,8.378589153289794922e-01,1.637945175170898438e+00
5.653432011604309082e-01,4.977968215942382812e+00,1.141345381736755371e+00
1.318016052246093750e-01,3.113646984100341797e+00,1.233832359313964844e+00
6.549234390258789062e-01,8.790457844734191895e-01,1.355757266283035278e-01
3.795158565044403076e-01,4.237728595733642578e+00,2.164703160524368286e-01
3.615438044071197510e-01,4.467041015625000000e+00,6.490394473075866699e-01
1.067262589931488037e-01,3.154566586017608643e-01,5.966753512620925903e-02
6.305658221244812012e-01,1.852552652359008789e+00,1.629121541976928711e+00
6.782908439636230469e-01,4.254602909088134766e+00,4.655855000019073486e-01
6.684044599533081055e-01,4.072226047515869141e+00,4.172942340373992920e-01
9.496585130691528320e-01,1.999863624572753906e+00,1.303755521774291992e+00
3.219372630119323730e-01,2.285939931869506836e+00,1.077221274375915527e+00
8.791033029556274414e-01,4.497013986110687256e-02,3.242375254631042480e-01
1.906687766313552856e-01,4.285982623696327209e-02,1.988249063491821289e+00
1.762789487838745117e-01,4.304016590118408203e+00,9.965220093727111816e-01
6.186333298683166504e-01,1.486740469932556152e+00,1.461349964141845703e+00
5.515334382653236389e-02,3.552756786346435547e+00,1.499288320541381836e+00
2.666339837014675140e-02,4.453089714050292969e+00,6.386932134628295898e-01
2.606594562530517578e-01,1.721307992935180664e+00,1.962633609771728516e+00
4.137073457241058350e-01,2.651034593582153320e+00,7.421343922615051270e-01
5.285294055938720703e-01,2.166099399328231812e-01,6.751849651336669922e-01
7.629559636116027832e-01,2.098464250564575195e+00,1.316712260246276855e+00
5.337044596672058105e-01,4.189477443695068359e+00,1.699549317359924316e+00
4.719698131084442139e-01,2.464864253997802734e+00,4.134717583656311035e-01
2.747854888439178467e-01,1.212627172470092773e+00,6.882624030113220215e-01
1.787964068353176117e-02,1.585219204425811768e-01,1.582308053970336914e+00
1.294207572937011719e-01,3.114767789840698242e+00,1.525859117507934570e+00
1.424722522497177124e-01,1.262978672981262207e+00,1.119452476501464844e+00
5.024071931838989258e-01,4.911653995513916016e+00,1.062158584594726562e+00
4.744334220886230469e-01,2.593932390213012695e+00,1.756963372230529785e+00
2.103719413280487061e-01,2.504262685775756836e+00,1.218907117843627930e+00
7.632571458816528320e-02,1.639068365097045898e+00,7.580556273460388184e-01
6.324258446693420410e-01,2.098926544189453125e+00,6.888482570648193359e-01
5.863850116729736328e-01,4.931828498840332031e+00,1.294453501701354980e+00
2.142080366611480713e-01,2.771843433380126953e+00,1.515912413597106934e+00
7.365085184574127197e-03,2.032054185867309570e+00,2.096712142229080200e-01
5.352379679679870605e-01,4.901988983154296875e+00,1.405851483345031738e+00
4.987814724445343018e-01,3.890390396118164062e+00,2.288945615291595459e-01
4.589481651782989502e-01,6.151168420910835266e-02,1.676736354827880859e+00
7.848592996597290039e-01,4.050259113311767578e+00,1.664960980415344238e+00
2.378070801496505737e-01,2.849352836608886719e+00,5.887334942817687988e-01
5.455970168113708496e-01,3.957346439361572266e+00,1.959606528282165527e+00
6.437628269195556641e-01,4.302707195281982422e+00,7.764179110527038574e-01
7.097241878509521484e-01,2.024079263210296631e-01,1.304444313049316406e+00
1.499490737915039062e-01,8.868232369422912598e-01,1.147073388099670410e+00
4.822302460670471191e-01,4.728209078311920166e-01,5.799115300178527832e-01
5.068957433104515076e-02,1.015889570116996765e-01,5.436436533927917480e-01
9.035635590553283691e-01,2.480602025985717773e+00,1.678146421909332275e-01
7.744004130363464355e-01,2.773197650909423828e+00,1.977549195289611816e+00
3.364530801773071289e-01,3.607434988021850586e+00,2.966226637363433838e-01
8.854766488075256348e-01,2.464360475540161133e+00,1.479195058345794678e-01
5.525727868080139160e-01,1.086183905601501465e+00,2.324659973382949829e-01
6.971989572048187256e-02,3.112582445144653320e+00,4.496951699256896973e-01
6.410628557205200195e-01,3.301573991775512695e-01,1.017376780509948730e+00
1.546241715550422668e-02,1.056869328022003174e-01,1.469840168952941895e+00
1.023185625672340393e-01,2.514037191867828369e-01,1.596360921859741211e+00
6.133056282997131348e-01,7.445844411849975586e-01,1.809497356414794922e+00
3.836760222911834717e-01,8.003723621368408203e-01,1.198535919189453125e+00
2.248392105102539062e-01,1.786893457174301147e-01,1.436023235321044922e+00
6.781463623046875000e-01,2.146238088607788086e+00,1.434552073478698730e-01
7.877165675163269043e-01,6.971815228462219238e-01,2.431949786841869354e-02
2.272498756647109985e-01,3.594920158386230469e+00,1.093426346778869629e+00
3.058434426784515381e-01,2.927700519561767578e+00,5.785354375839233398e-01
9.557929039001464844e-01,4.928601264953613281e+00,1.161602377891540527e+00
3.653077185153961182e-01,3.385486602783203125e+00,1.106253743171691895e+00
5.213266611099243164e-01,4.935766220092773438e+00,1.278676629066467285e+00
2.550282776355743408e-01,9.571053981781005859e-01,1.141214609146118164e+00
6.819235086441040039e-01,1.538821578025817871e+00,2.150238603353500366e-01
8.404554724693298340e-01,2.779141187667846680e+00,1.976340413093566895e+00
9.832302331924438477e-01,1.033617615699768066e+00,1.392513155937194824e+00
4.859752655029296875e-01,3.364978075027465820e+00,5.664267539978027344e-01
7.765250653028488159e-02,2.962479114532470703e+00,1.633881926536560059e+00
9.415073692798614502e-02,3.171517848968505859e+00,3.000678420066833496e-01
8.617140054702758789e-01,1.480684876441955566e+00,1.096511483192443848e+00
1.180807203054428101e-01,3.212028026580810547e+00,4.280857741832733154e-01
