omega,lambda_p,pi_bar
6.337541937828063965e-01,4.653728961944580078e+00,1.775847792625427246e+00
6.690846085548400879e-01,1.741052269935607910e+00,1.781428813934326172e+00
3.299010396003723145e-01,7.191037535667419434e-01,1.406676530838012695e+00
7.308489084243774414e-01,2.409848928451538086e+00,1.315141320228576660e+00
3.349191248416900635e-01,4.258197784423828125e+00,1.922821640968322754e+00
1.145319417119026184e-01,8.846640586853027344e-01,3.705759048461914062e-01
7.843599915504455566e-01,4.955704689025878906e+00,1.548832416534423828e+00
1.483989208936691284e-01,1.753968000411987305e+00,1.819733500480651855e+00
7.033912539482116699e-01,1.852910399436950684e+00,1.804826974868774414e+00
6.189785003662109375e-01,4.567607879638671875e+00,1.422035217285156250e+00
5.029805302619934082e-01,4.760251045227050781e+00,1.224303483963012695e+00
9.404543638229370117e-01,2.178925991058349609e+00,1.580606698989868164e+00
7.634081244468688965e-01,4.985309123992919922e+00,1.845097780227661133e+00
6.842609047889709473e-01,1.709595561027526855e+00,1.709639668464660645e+00
4.376481175422668457e-01,2.586163282394409180e+00,1.937219262123107910e+00
7.710896730422973633e-01,2.856149196624755859e+00,1.899383425712585449e+00
2.545382380485534668e-01,2.792085170745849609e+00,1.475333333015441895e+00
1.920783221721649170e-01,8.979949951171875000e-01,1.633659362792968750e+00
5.948491692543029785e-01,3.698995828628540039e+00,1.871419310569763184e+00
4.149613976478576660e-01,2.469508886337280273e+00,1.679329991340637207e+00
9.599351286888122559e-01,4.796121597290039062e+00,1.762549638748168945e+00
7.862880825996398926e-01,3.869941949844360352e+00,1.956744790077209473e+00
9.554524421691894531e-01,3.335094451904296875e+00,1.918276786804199219e+00
3.873804211616516113e-01,3.169746160507202148e+00,1.893735885620117188e+00
7.551567554473876953e-01,4.074422359466552734e+00,1.614261507987976074e+00
6.795392632484436035e-01,3.869281411170959473e-01,1.647914290428161621e+00
5.463797450065612793e-01,2.787887334823608398e+00,4.573199152946472168e-01
3.579044342041015625e-01,4.782641410827636719e+00,1.502735376358032227e+00
4.734413921833038330e-01,2.714733362197875977e+00,3.581036329269409180e-01
2.885388135910034180e-01,3.975697755813598633e+00,1.767228007316589355e+00
5.781898498535156250e-01,5.439777970314025879e-01,1.633913040161132812e+00
4.603571891784667969e-01,9.835296273231506348e-01,1.829269886016845703e+00
1.554411053657531738e-01,2.521704435348510742e+00,1.762226521968841553e-01
6.666387915611267090e-01,4.500377655029296875e+00,1.919214010238647461e+00
3.787639141082763672e-01,3.242224693298339844e+00,1.853708148002624512e+00
7.308173179626464844e-01,3.973277091979980469e+00,1.788631081581115723e+00
4.256170988082885742e-01,1.507645845413208008e+00,1.996407747268676758e+00
1.812655180692672729e-01,8.272121548652648926e-01,9.195190668106079102e-01
9.045250415802001953e-01,1.373327970504760742e+00,1.287262201309204102e+00
3.671150207519531250e-01,3.643153190612792969e+00,1.525191783905029297e+00
2.210677862167358398e-01,4.180608749389648438e+00,1.603037834167480469e+00
6.565660238265991211e-01,1.545068025588989258e+00,1.373317003250122070e+00
3.801289498805999756e-01,4.368147373199462891e+00,1.752200365066528320e+00
8.561800718307495117e-01,1.727558135986328125e+00,1.982740879058837891e+00
2.239515483379364014e-01,7.594714164733886719e-01,1.532162070274353027e+00
9.692209362983703613e-01,3.375987768173217773e+00,1.168343067169189453e+00
8.952652215957641602e-01,3.667749881744384766e+00,1.960761666297912598e+00
8.390639424324035645e-01,3.266927003860473633e+00,1.864355683326721191e+00
5.092237591743469238e-01,7.104392647743225098e-01,1.459224700927734375e+00
9.234433174133300781e-01,2.798429489135742188e+00,1.809505820274353027e+00
9.158815741539001465e-01,4.364096641540527344e+00,1.937271714210510254e+00
7.425957918167114258e-01,2.232965230941772461e+00,1.981034159660339355e+00
5.620014667510986328e-01,3.457406282424926758e+00,1.916145443916320801e+00
9.247289896011352539e-01,9.625349044799804688e-01,1.809510827064514160e+00
9.927794337272644043e-01,2.693498134613037109e+00,1.793699979782104492e+00
2.440418154001235962e-01,4.387638092041015625e+00,1.744325637817382812e+00
6.323711276054382324e-01,1.473469495773315430e+00,7.982280254364013672e-01
3.424594104290008545e-01,1.460040211677551270e+00,1.116924524307250977e+00
2.013332098722457886e-01,2.471110582351684570e+00,1.938897967338562012e+00
7.166294455528259277e-01,3.781865119934082031e+00,1.782919168472290039e+00
7.148270010948181152e-01,3.430899381637573242e+00,1.768198728561401367e+00
6.560475826263427734e-01,1.445613026618957520e+00,8.906647562980651855e-01
4.066419303417205811e-01,4.606637001037597656e+00,1.928180694580078125e+00
4.640821833163499832e-03,2.286966323852539062e+00,1.552142262458801270e+00
6.625432968139648438e-01,4.491030216217041016e+00,1.875002384185791016e+00
7.192963361740112305e-01,4.113674163818359375e+00,1.561810851097106934e+00
7.216287255287170410e-01,3.136576652526855469e+00,1.706436038017272949e+00
3.315523564815521240e-01,3.248703479766845703e+00,7.272444367408752441e-01
3.750729262828826904e-01,2.810911178588867188e+00,1.597156643867492676e+00
6.103798151016235352e-01,2.681519508361816406e+00,1.958704471588134766e+00
7.177839875221252441e-01,3.841614961624145508e+00,1.496011257171630859e+00
8.297148346900939941e-01,1.141258478164672852e+00,1.224169731140136719e+00
7.754248380661010742e-01,4.532596111297607422e+00,1.926255822181701660e+00
8.416647315025329590e-01,3.169353246688842773e+00,1.859244704246520996e+00
6.976276636123657227e-01,2.357624530792236328e+00,1.998720169067382812e+00
7.401620149612426758e-01,3.569514036178588867e+00,1.827606081962585449e+00
6.006803512573242188e-01,3.008064985275268555e+00,1.972319364547729492e+00
6.355426907539367676e-01,1.561602950096130371e+00,1.953863263130187988e+00
3.620116412639617920e-02,1.858873844146728516e+00,9.528833627700805664e-01
3.389011919498443604e-01,5.029130727052688599e-02,1.945632219314575195e+00
7.704628705978393555e-01,2.203568935394287109e+00,1.662681698799133301e+00
3.090603947639465332e-01,1.830541491508483887e+00,1.986780047416687012e+00
8.277750015258789062e-01,2.050955772399902344e+00,1.852757930755615234e+00
6.595937907695770264e-02,1.970761775970458984e+00,1.017310261726379395e+00
8.517850041389465332e-01,4.028152465820312500e+00,1.910253643989562988e+00
1.410965919494628906e-01,4.662178993225097656e+00,7.335659265518188477e-01
7.147000432014465332e-01,4.525155544281005859e+00,1.682662248611450195e+00
9.035289883613586426e-01,3.120877027511596680e+00,1.861110448837280273e+00
9.902731180191040039e-01,2.053847312927246094e+00,1.242868423461914062e+00
9.916003942489624023e-01,4.212910652160644531e+00,1.681585907936096191e+00
6.634461283683776855e-01,2.193353891372680664e+00,2.796221673488616943e-01
5.385721921920776367e-01,2.943596839904785156e+00,1.900853633880615234e+00
5.393662452697753906e-01,2.866307973861694336e+00,1.901195883750915527e+00
6.381657719612121582e-01,4.728543758392333984e+00,1.641284823417663574e+00
5.672888159751892090e-01,2.272022664546966553e-01,1.572325825691223145e+00
8.659593462944030762e-01,3.229849815368652344e+00,1.807201623916625977e+00
5.281290411949157715e-01,4.065406322479248047e+00,9.046000838279724121e-01
8.247150778770446777e-01,1.675391912460327148e+00,1.927131772041320801e+00
4.594834744930267334e-01,3.925016820430755615e-01,5.895910263061523438e-01
8.395488858222961426e-01,4.574286460876464844e+00,1.712111711502075195e+00
7.254541516304016113e-01,1.840538978576660156e+00,1.921336889266967773e+00
2.211958616971969604e-01,1.631413817405700684e+00,1.862841725349426270e+00
5.266136676073074341e-02,7.773352861404418945e-01,9.339518547058105469e-01
7.734204530715942383e-01,2.816667079925537109e+00,1.758360624313354492e+00
6.420556902885437012e-01,3.334925413131713867e+00,1.426664471626281738e+00
5.688675642013549805e-01,2.150051116943359375e+00,5.556280016899108887e-01
9.307544231414794922e-01,3.022691249847412109e+00,1.277603149414062500e+00
6.749960184097290039e-01,4.229473114013671875e+00,1.258214712142944336e+00
6.995478272438049316e-01,1.499335050582885742e+00,1.921427369117736816e+00
3.714623749256134033e-01,2.152900695800781250e+00,1.883974075317382812e+00
1.576374471187591553e-01,2.225352048873901367e+00,1.522061228752136230e+00
8.373169898986816406e-01,2.365033864974975586e+00,1.033113360404968262e+00
8.601520061492919922e-01,4.351086616516113281e+00,1.835302352905273438e+00
5.716989636421203613e-01,7.827675938606262207e-01,1.692674160003662109e+00
7.590433359146118164e-01,4.772143840789794922e+00,1.851971149444580078e+00
8.207522034645080566e-01,3.563706874847412109e-01,1.959177613258361816e+00
5.625737309455871582e-01,3.036458253860473633e+00,1.733325839042663574e+00
6.996530294418334961e-01,3.619330883026123047e+00,1.843229293823242188e+00
5.341490507125854492e-01,1.768195629119873047e+00,1.808400630950927734e+00
8.999671936035156250e-01,3.533772468566894531e+00,1.932884335517883301e+00
6.284518837928771973e-01,4.139373302459716797e+00,1.803125143051147461e+00
8.163074254989624023e-01,4.288239479064941406e+00,1.731672286987304688e+00
3.025121986865997314e-01,4.962004721164703369e-01,1.274823904037475586e+00
8.630122542381286621e-01,3.811112880706787109e+00,1.900770187377929688e+00
4.202688038349151611e-01,1.540897965431213379e+00,1.904919385910034180e+00
5.923146605491638184e-01,4.974009037017822266e+00,1.966981291770935059e+00
7.122340798377990723e-01,4.646746158599853516e+00,1.847040176391601562e+00
8.404039740562438965e-01,2.132792949676513672e+00,1.792886972427368164e+00
1.033181231468915939e-02,1.064012050628662109e+00,1.969826579093933105e+00
8.728957772254943848e-01,1.700485348701477051e+00,1.059010028839111328e+00
6.278132200241088867e-01,8.603740930557250977e-01,1.720887780189514160e+00
7.449128031730651855e-01,3.498944759368896484e+00,1.384026885032653809e+00
2.228319495916366577e-01,1.830504179000854492e+00,1.757398366928100586e+00
7.522277534008026123e-02,3.020752668380737305e+00,1.341703414916992188e+00
5.819961428642272949e-01,4.252221584320068359e+00,1.740759253501892090e+00
7.355842590332031250e-01,1.572725772857666016e+00,1.417393684387207031e+00
2.719138562679290771e-01,3.332836866378784180e+00,1.487942218780517578e+00
3.526692464947700500e-02,1.234207868576049805e+00,2.976694405078887939e-01
6.524940133094787598e-01,4.441873073577880859e+00,5.328929424285888672e-01
8.839384913444519043e-01,4.675424575805664062e+00,1.493058800697326660e+00
8.784930706024169922e-01,4.331672191619873047e+00,1.492447018623352051e+00
